license_number|company_flag|dba|address1|city|state|zip|county|phone|licensee_type_cd|expiration_date|number_type
WV000066|C J HUGHES CONSTRUCTION CO INC|C J HUGHES CONSTRUCTION CO INC|PO BOX 7305|HUNTINGTON|WV|257767305|06|304-522-3868| C |10/15/2015|License Number
WV000068|MCCLOY CONSTRUCTION COMPANY INC|PROFESSIONAL HOME SERVICE|202 FERRY ST|CHARLESTON|WV|25314|20|304-342-9440|A B C D E F G H I 999 |8/1/2015|License Number
WV000071|WILLIAM TURNBULL|T R TURNBULL ELECTRIC|1015 1ST ST|HUNTINGTON|WV|257013101|06|304-522-4026|A |8/3/2015|License Number
WV000081|LEE REGER BUILDS INC|LEE REGER BUILDS INC|PO BOX 1872|SHINNSTON|WV|264313872|17|304-592-2083| B C I 999 |8/1/2015|License Number
WV000082|LATEX CONSTRUCTION COMPANY|LATEX CONSTRUCTION COMPANY|PO BOX 917|CONYERS|GA|300120917|0|770-760-0820| F |8/1/2015|License Number
WV000084|HOWARD L BOWERS CONTRACTING CO INC|HOWARD L BOWERS CONTRACTING CO INC|PO BOX 2249|WINTERSVILLE|OH|439530249|0|740-264-7731|A B C D E F G H I 020 |8/1/2015|License Number
WV000085|TUCKER CO DIESEL & TRAILER REP INC|TUCKER CO DIESEL & TRAILER REP INC|PO BOX 366|PARSONS|WV|262870366|47|304-478-2430| B C |8/1/2015|License Number
WV000086|THE BEAVER EXCAVATING CO|THE BEAVER EXCAVATING CO|PO BOX 6059|CANTON|OH|44706|0|330-478-2151| C I 007 |8/1/2015|License Number
WV000088|WOLVERINE FIRE PROTECTION CO|WOLVERINE FIRE PROTECTION CO|PO BOX 219|MOUNT MORRIS|MI|484580219|0|810-686-4630| I 999 |8/1/2015|License Number
WV000091|MAC CONSTRUCTION INC|MAC CONSTRUCTION INC|1028 PROPRIETORS RD UNIT A|COLUMBUS|OH|430857216|0|614-745-8268| B |8/1/2015|License Number
WV000094|KANAWHA VALLEY CONSTRUCTION AND ERE|KANAWHA VALLEY CONSTRUCTION AND ERE|PO BOX 5276|CHARLESTON|WV|253610276|20|304-346-7069|A B C E H |8/1/2015|License Number
WV000095|RANDY H TINCHER|TINCHER CONSTRUCTION|1015 ORCHARD DR|RAINELLE|WV|259621819|13|304-438-5412|A B D G H I 999 007 004 005 001 010 |8/1/2015|License Number
WV000098|RICHARD DOERR|RICHARD DOERR CONSTRUCTION|PO BOX 1876|ELKINS|WV|262411876|42|304-636-6786| B H |8/1/2015|License Number
WV000099|TRAM CONSTRUCTION INC|TRAM CONSTRUCTION INC|PO BOX 250|GARRISON|KY|41141|0|606-757-4874| C |8/1/2015|License Number
WV000104|TRI STATE ROOFING & SHEET METAL CO|TRI STATE ROOFING & SHEET METAL CO|PO BOX 1231|CHARLESTON|WV|253241231|20|304-755-8135| D I 999 010 037 |8/1/2015|License Number
WV000107|CENTRAL GLASS CO OF CHARLESTON INC|CENTRAL GLASS CO OF CHARLESTON INC|PO BOX 6340|CHARLESTON|WV|253620340|20|304-343-5669| B H I 999 011 005 010 004 |8/1/2015|License Number
WV000108|BENCHMARK CONSTRUCTION CO INC|BENCHMARK CONSTRUCTION CO INC|PO BOX 1018|HURRICANE|WV|25526|20|304-546-9099| C |8/1/2015|License Number
WV000110|FIRST FLOORING LLC|FIRST FLOORING LLC|193 CUT OFF RUN|NEWTON|WV|25266|44|304-720-8255|A B C D E F G H I 027 |8/23/2015|License Number
WV000111|MARKS CONSTRUCTION CO|MARKS CONSTRUCTION CO|18 CARRIAGE LN|BRIDGEPORT|WV|26330|17|304-624-5612| B |10/14/2015|License Number
WV000114|L R DORSEY INC|L R DORSEY INC|2700 SMITH RD|CHARLESTON|WV|253142490|20|304-342-5712|A B C D E G H I 999 003 |8/1/2015|License Number
WV000115|KALMAN FLOOR COMPANY|KALMAN FLOOR COMPANY|1202 BERGEN PKWY STE 110|EVERGREEN|CO|804399546|0|303-674-2290| I 999 |8/1/2015|License Number
WV000117|ROVER CONSTRUCTION INC|ROVER CONSTRUCTION INC|PO BOX 127|SAINT ALBANS|WV|25177|20|304-759-2100| C |8/1/2015|License Number
WV000119|UPTON CONSTRUCTION CO INC|UPTON CONSTRUCTION CO INC|PO BOX 39|DUNBAR|WV|25064|20|304-744-4627|A B C F G H I 999 |8/1/2015|License Number
WV000120|NORTH MOUNTAIN CARPENTRY INC|NORTH MOUNTAIN CARPENTRY INC|4194 DRY RUN RD|HEDGESVILLE|WV|25427|02|304-671-1037|A B H I 063 |8/1/2015|License Number
WV000124|MARK R DEEM|MARK R DEEM PLUMBING & ELECTRIC|200 MORROW RD|HUNTINGTON|WV|25701|06|304-522-3109|A D E G I 999 010 007 |8/1/2015|License Number
WV000127|PRESTON ADKINS BUILDING INC|PRESTON ADKINS BUILDING INC|208 MINK CROSSING|DANIELS|WV|25832|41|304-860-1034|A B C D E F G H I 999 004 010 009 |8/1/2015|License Number
WV000129|J & H REINFORCING & STRUCTURAL EREC|J & H REINFORCING & STRUCTURAL EREC|PO BOX 60|PORTSMOUTH|OH|45662|0|740-355-0141| B I 011 |8/28/2015|License Number
WV000132|BURTON LANCE|BURTON LANCE|250 LOCUST HEIGHTS DR.|CLARKSBURG|WV|26301|17|304-622-7344| I 004 |8/1/2015|License Number
WV000136|WALTER N YODER & SONS INC|WALTER N YODER & SONS INC|PO BOX 1337|CUMBERLAND|MD|215011337|0|301-729-0610|A B C D F G |1/28/2016|License Number
WV000138|MOHAWK REBAR SERVICES INC|MOHAWK REBAR SERVICES INC|PO BOX 8468|CANTON|OH|447118468|0|440-268-0780| I 999 007 |8/1/2015|License Number
WV000146|ROBERT R BILLER|R & B CONSTRUCTION CO|RR 1 BOX 104|BEVERLY|WV|26253|42|304-591-4276|A B C D E F G H I 004 |8/8/2015|License Number
WV000148|PATRICK H BELBY|PATRICK H BELBY|116 DANFIELD DR|WHEELING|WV|26003|26|304-242-9690|A |8/1/2015|License Number
WV000156|THOMPSON REAL ESTATE INC|THOMPSON REAL ESTATE INC|3106 PUTNAM AVENUE|HURRICANE|WV|25526|40|304-741-2820| B C E G H I 999 010 009 005 001 003 007 004 |8/1/2015|License Number
WV000160|JUDD THOMPSON|JUDD THOMPSON|PO BOX 8|HURRICANE|WV|255260565|40|304-562-2553| B C E G H I 999 010 009 001 003 005 007 004 |5/6/2015|License Number
WV000162|WILLIAM J THOMPSON JR|WILLIAM J THOMPSON JR|3106 PUTNAM AVENUE|HURRICANE|WV|25526|40|304-741-2820| B C E G H I 999 010 009 001 003 005 007 004 |8/1/2015|License Number
WV000165|DUARTES ROOFING & SHEET METAL CO|DUARTES ROOFING & SHEET METAL CO|412 N OHIO AVE|CLARKSBURG|WV|263020748|17|304-622-3543| I 009 010 069 |8/1/2015|License Number
WV000166|WALTERS CONSTRUCTION INC|WALTERS CONSTRUCTION INC|600 FULTON ST|WHEELING|WV|260036534|35|304-233-1121|A B C D E F G H I 999 004 007 010 009 |8/1/2015|License Number
WV000172|NELSON CONSTRUCTION LLC|NELSON CONSTRUCTION LLC|1168 MAUZY GAP RD|FRANKLIN|WV|26807|36|304-358-7338| C |9/18/2015|License Number
WV000174|M W KRYZAK & SONS INCORPORATED|M W KRYZAK & SONS INCORPORATED|17 KEYSTONE DR|CHARLESTON|WV|253111031|20|304-344-3663| D |9/14/2015|License Number
WV000177|SHEPPARD BROTHERS INC|SHEPPARD BROTHERS INC|3125 SCOTT DEPOT RD|SCOTT DEPOT|WV|25560|40|304-757-4972| B H |8/4/2015|License Number
WV000180|ROB BORAM CONSTRUCTION INC|ROB BORAM CONSTRUCTION INC|536 CHARLES ST|WELLSBURG|WV|260701719|05|304-737-1005|A B D E G H I 999 |8/1/2015|License Number
WV000182|BLAUCH BROTHERS INC|BLAUCH BROTHERS INC|PO BOX 1092|HARRISONBURG|VA|228011092|0|540-434-2589| D G |8/1/2015|License Number
WV000185|MACKEY CONTRACTORS|MACKEY CONTRACTORS|107 MUNSON DR|BECKLEY|WV|258012047|41|304-253-1706| B C D E F G H I 015 007 004 002 010 009 006 003 |8/2/2015|License Number
WV000187|ADAMS COOLING TOWER CONSTRUCTION IN|ADAMS COOLING TOWER CONSTRUCTION IN|PO BOX 191|MOORES HILL|IN|470320191|0|812-744-4223| I 999 |8/2/2015|License Number
WV000195|KENNETH BENNETT|BOB BENNETT HOMES|PO BOX 5580|VIENNA|WV|261055580|54|304-295-0011| B C E G H I 999 |9/30/2015|License Number
WV000197|STATELINE PIPE CORPORATION|STATELINE PIPE CORPORATION|PO BOX 103|BELPRE|OH|45714|0|304-422-5107| G |12/23/2015|License Number
WV000200|RELIABLE ROOFING COMPANY|RELIABLE ROOFING COMPANY|PO BOX 1908|ELKINS|WV|262411908|42|304-636-7188| I 010 030 |8/2/2015|License Number
WV000201|IVS HYDRO INC|IVS HYDRO INC|PO BOX 245|WAVERLY|WV|261840245|54|304-464-4340| B I 999 |8/2/2015|License Number
WV000204|ORVILLE ADKINS|ADKINS HEATING & ELECTRIC|PO BOX 1266|MOUNT GAY|WV|256370633|23|304-752-8216|A B D E G H |11/20/2015|License Number
WV000205|HAYSLETT CONSTRUCTION COMPANY INC|HAYSLETT CONSTRUCTION COMPANY INC|PO BOX 447|HURRICANE|WV|255260447|40|304-757-9348| B C E F G H |8/2/2015|License Number
WV000206|SPENCERS REFRIGERATION INC|SPENCERS REFRIGERATION INC|PO BOX 737|PROCTORVILLE|OH|45669|O6|304-886-5700| D I 999 |8/4/2015|License Number
WV000207|CIPOLETTI PLUMBING HEATING SUPPLY C|CIPOLETTI PLUMBING HEATING SUPPLY C|PO BOX 386|WELLSBURG|WV|260700386|05|304-737-0447|A D G |8/2/2015|License Number
WV000208|MICHAEL PETRELLA|MICHAEL PETRELLA|74 OVERLOOK TERRACE|COLLIERS|WV|260359638|05|304-748-3222| I 015 |8/2/2015|License Number
WV000218|J L MOORE INC|J L MOORE INC|PO BOX 1355|SHEPHERDSTOWN|WV|25443|19|304-876-3294|A B D E G H |8/2/2015|License Number
WV000222|BASIC CONCEPTS INC|PATTERSON BUILDING AND CONTRACTING|103 CRESTWOOD DR|PARKERSBURG|WV|261049235|54|304-834-1991| B H I 009 010 015 |8/2/2015|License Number
WV000227|FORD ASSOCIATES INC|FORD ASSOCIATES INC|1547 SMITH ST|MILTON|WV|255411335|06|304-638-5906| B H |8/31/2015|License Number
WV000228|VECELLIO & GROGAN INC|VECELLIO & GROGAN INC|PO BOX 2438|BECKLEY|WV|258022819|41|304-252-6575| C |8/2/2015|License Number
WV000231|DAVE HINKLE ELECTRIC INC|DAVE HINKLE ELECTRIC INC|4563 PLUTO RD|SHADY SPRING|WV|259188064|41|304-763-2089|A |8/2/2015|License Number
WV000232|HARRIS BROTHERS ROOFING COMPANY|HARRIS BROTHERS ROOFING COMPANY|1518 HANSFORD STREET|CHARLESTON|WV|253111917|20|304-343-5566| B D G I 010 999 |8/2/2015|License Number
WV000233|CABELL SHEET METAL & ROOFING INC|CABELL SHEET METAL & ROOFING INC|PO BOX 448|CEREDO|WV|255070448|50|304-429-6918|A D F G I 999 |8/2/2015|License Number
WV000234|C E ADKINS & SON INC|C E ADKINS & SON INC|5069 GUYAN RIVER RD|HUNTINGTON|WV|257029730|06|304-523-5574| I 015 |8/2/2015|License Number
WV000235|STUART-MCMUNN COMPANY|STUART-MCMUNN COMPANY|137 NORTH 6TH STREET|CLARKSBURG|WV|26301|17|304-623-6666|A B C D E F G H |8/2/2015|License Number
WV000240|VALCON INC|VALCON INC|PO BOX 180|FRANKFORD|WV|24938|13|304-497-3100| B E G H I 999 010 |8/2/2015|License Number
WV000242|PIKE ELECTRIC LLC|PIKE ELECTRIC LLC|PO BOX 868|MOUNT AIRY|NC|270300868|0|336-789-2171|A D |8/2/2015|License Number
WV000246|KALKREUTH ROOFING & SHEET METAL INC|KALKREUTH ROOFING & SHEET METAL INC|53 14TH STREET SUITE 100|WHEELING|WV|26003|35|304-232-8540| I 999 010 |8/2/2015|License Number
WV000247|ROY G HEFFNER INC|ROY G HEFFNER INC|2612 COUNTY ROAD 124|CHESAPEAKE|OH|456198049|0|740-867-8596|A B D G |8/2/2015|License Number
WV000249|KARRAS PAINTING LLC|KARRAS PAINTING LLC|2408 EOFF STREET|WHEELING|WV|260033918|35|304-233-2211| I 015 |8/2/2015|License Number
WV000250|MARQUART INC|MARQUART INC|PO BOX 6264|WHEELING|WV|260030726|35|304-547-0099|A B C D E F G H I 999 |8/6/2015|License Number
WV000251|GEO V HAMILTON INC|GEO V HAMILTON INC|RIVER AVENUE|MCKEES ROCKS|PA|15136|0|412-771-0900| I 026 |8/2/2015|License Number
WV000252|MID ATLANTIC STORAGE SYSTEMS INC|MID ATLANTIC STORAGE SYSTEMS INC|1551 ROBINSON ROAD|WASHINGTON COURT HOUSE|OH|431609201|0|740-335-2019| C |8/2/2015|License Number
WV000259|WILLIAM M BANE|WILLIAM M BANE|RT 3 BOX 3080|KEYSER|WV|26726|29|304-813-8408| I 999 |8/2/2015|License Number
WV000263|JETER PAVING CO INC|JETER PAVING CO INC|1445 OAK RIDGE PL|HAGERSTOWN|MD|217407449|0|301-797-6941| I 999 006 |8/2/2015|License Number
WV000267|CAPITOL TUNNELING INC|CAPITOL TUNNELING INC|2216 REFUGEE RD|COLUMBUS|OH|432072800|0|614-444-0255| C |10/18/2015|License Number
WV000268|MARK ODELL CONSTRUCTION LLC|MARK ODELL CONSTRUCTION LLC|212 POST ROAD|NETTIE|WV|266819607|34|304-651-2780| B I 005 |1/18/2016|License Number
WV000269|E E MOORE CO|E E MOORE CO|PO BOX 8624|SOUTH CHARLESTON|WV|253030624|20|304-744-5103| B H I 999 007 |9/17/2015|License Number
WV000270|SNYDER ENVIRONMENTAL SERVICES INC|SNYDER ENVIRONMENTAL SERVICES INC|270 INDUSTRIAL BLVD|KEARNEYSVILLE|WV|254309646|19|304-725-9140|A C F G |8/2/2015|License Number
WV000278|RICHARD S LOGSTON|LOGSTON SIDING & REMODELING|3409 GLENDALE HGTS RD|GLEN DALE|WV|26038|26|304-232-4840|A B G H I 999 |8/2/2015|License Number
WV000280|GEORGE E CARR|CARRS DRIVEWAY & GENERAL CONT|63 GAP VIEW DR|CHARLESTON|WV|253066650|20|304-925-7030| I 999 007 004 006 002 |8/2/2015|License Number
WV000281|CHARLES A POZELL|CHAZ POZELL CONTRACTING|506 TOMLINSON AVE|GLEN DALE|WV|260381629|26|304-845-2311| B H |11/1/2015|License Number
WV000284|HARRY MCELDOWNEY|HARRY MCELDOWNEY|276 JERRY RUN RD|BRIDGEPORT|WV|263300006|17|304-842-5196| B H |8/2/2015|License Number
WV000287|TRI COUNTY ELECTRIC CO INC|TRI COUNTY ELECTRIC CO INC|300 SCOTTDALE AVENUE|SCOTTDALE|PA|15683|0|724-887-9110|A B C D E F G H I 999 |8/2/2015|License Number
WV000289|J E ROCKIS RENTAL & SUPPLY INC|J E ROCKIS RENTAL & SUPPLY INC|PO BOX 4183|STAR CITY|WV|26504|31|304-282-3470| B C E F G H I 999 004 007 003 |8/2/2015|License Number
WV000290|ROBERTS ESTATES INC|ROBERTS ESTATES INC|PO BOX 227|HENDRICKS|WV|262710227|47|304-478-2307|A B C D E F G H I 999 004 007 009 010 003 002 |8/2/2015|License Number
WV000293|ARCHER PLUMBING & HEATING INC|ARCHER PLUMBING & HEATING INC|184 IVAN STREET|WASHINGTON|WV|26181|54|304-863-6440| D G |9/20/2015|License Number
WV000300|H AND W CONSTRUCTION CO INC|H AND W CONSTRUCTION CO INC|PO BOX 2468|WINCHESTER|VA|226041668|0|540-667-3752| B H I 037 |9/11/2015|License Number
WV000301|SQUIRES ELECTRIC INC|SQUIRES ELECTRIC INC|1003 OLDTOWN ROAD|CUMBERLAND|MD|21502|0|301-722-7763|A D G |9/4/2015|License Number
WV000308|THE EARLY CONSTRUCTION CO|THE EARLY CONSTRUCTION CO|307 COUNTY ROAD 120 SOUTH|SOUTH POINT|OH|45680|0|304-894-5150| C F |8/7/2015|License Number
WV000309|CHESTER MURPHY|MURPHY ROOFING & REPAIRS|1640 POE LN|BRISTOL|WV|26426|17|304-782-2732| I 999 |8/2/2015|License Number
WV000313|R BRADY ORR|R BRADY ORR CONTRACTING|1540 DALLAS PIKE ROAD|TRIADELPHIA|WV|260599728|35|304-547-1961|A B D E G H I 015 004 007 010 001 009 030 027 069 058 |10/20/2015|License Number
WV000314|BILL LOGAN PAINTING CONTRACTOR|BILL LOGAN PAINTING CONTRACTOR|RR 1 BOX 172|BEVERLY|WV|262539749|42|304-636-0144| I 015 |9/10/2015|License Number
WV000315|HALL DOZER CO INC|HALL DOZER CO INC|9500 S CALHOUN HWY.|MILLSTONE|WV|25261|07|304-655-8304| I 999 |8/2/2015|License Number
WV000316|ADVANCE TANK AND CONSTRUCTION CO|ADVANCE TANK AND CONSTRUCTION CO|PO BOX 219|WELLINGTON|CO|805490219|0|970-568-3444| C |8/7/2015|License Number
WV000320|DAVIS H ELLIOT CONSTRUCTION CO INC|DAVIS H ELLIOT CONSTRUCTION CO INC|673 BLUE SKY PARKWAY|LEXINGTON|KY|40509|0|859-263-5148|A |8/2/2015|License Number
WV000322|JEFFREY W ADAMS|JEFFREY W ADAMS|812 ECHO VLY|GLEN DALE|WV|260381205|26|304-845-4891|A |8/2/2015|License Number
WV000323|HAROLD V CATROW INC|HAROLD V CATROW INC|128 MARSHALL STREET|KEARNEYSVILLE|WV|25430|19|304-725-7724|A B F G H I 999 002 008 004 007 006 |8/2/2015|License Number
WV000326|H & S HEATING & COOLING CO|H & S HEATING & COOLING CO|PO BOX 819|POCA|WV|251590819|40|304-755-0622| D |8/2/2015|License Number
WV000327|VFP FIRE SYSTEMS INC|VFP FIRE SYSTEMS INC|301 YORK AVENUE|ST PAUL|MN|55130|0|651-558-3300| I 999 |8/13/2015|License Number
WV000337|KEESLING CONSTRUCTION CO|KEESLING CONSTRUCTION CO|933 NEW HOPE RD|PRINCETON|WV|24740|28|304-425-9588|A B C D E G H I 010 009 003 004 |8/2/2015|License Number
WV000338|BRUCE W RAMSEY|RAMSEYS PLUMBING & HEATING|216 NORTHFIELD DR|LEWISBURG|WV|249019318|13|304-645-3824| D E F G H |10/31/2015|License Number
WV000342|HENSON BROTHERS INC|HENSON BROTHERS INC|PO BOX 655|NITRO|WV|251430655|20|304-768-7315| I 999 037 |11/5/2015|License Number
WV000348|L L LAKE CONTRACTING LLC|L L LAKE CONTRACTING LLC|1110 PHILIPPI PIKE|CLARKSBURG|WV|26301|17|304-622-1002|A B E G H I 999 001 010 009 |8/20/2015|License Number
WV000349|HARBEL INC|HARBEL INC|PO BOX 358|CUMBERLAND|MD|215010358|0|301-729-8303| B C E I 004 010 |8/2/2015|License Number
WV000351|MILLER DOOR INC|MILLER DOOR INC|57 GLENDALE RD|PARKERSBURG|WV|26105|54|304-295-7009| I 017 |8/2/2015|License Number
WV000354|ANDERSON ROOFING SHEET METAL WORKS|ANDERSON ROOFING SHEET METAL WORKS|2633 PAPERMILL RD|WINCHESTER|VA|22601|0|540-662-2586| I 010 025 |8/2/2015|License Number
WV000355|CARL BELT INC|BELT CONSTRUCTION|PO BOX 1210|CUMBERLAND|MD|215011210|0|301-729-8900| B C E I 004 010 |8/2/2015|License Number
WV000358|BUCKEYE MECHANICAL CONTRACTING INC|BUCKEYE MECHANICAL CONTRACTING INC|2325 TWP RD 370|TORONTO|OH|43964|0|740-282-0089| C D F G |8/5/2015|License Number
WV000362|E P LEACH & SONS INC|E P LEACH & SONS INC|PO BOX 1823|HUNTINGTON|WV|25719|06|304-523-7560| B |8/5/2015|License Number
WV000363|PETTICORD & SON INC|PETTICORD & SON INC|10 FOREST PARK|WHEELING|WV|260034818|35|304-233-2727| I 999 015 |8/5/2015|License Number
WV000365|MANESS CONTRACTING INC|MANESS CONTRACTING INC|66 15TH ST|WHEELING|WV|260033552|35|304-233-2332|A B C D E G H |8/5/2015|License Number
WV000368|ADAMS ROBINSON ENTERPRISES INC|ADAMS ROBINSON ENTERPRISES INC|2735 NEEDMORE RD|DAYTON|OH|454144207|0|937-274-5318|A C |8/5/2015|License Number
WV000372|CHRISTOPHER E NEIDHARDT|C E N HEATING & A/C|90 DOG HOLLOW RD|VALLEY GROVE|WV|26060|35|304-547-1710|A D G |2/13/2016|License Number
WV000373|MINCO MILLWORK COMPANY LLC|MINCO MILLWORK COMPANY LLC|RR 4 BOX 121-B|KEYSER|WV|26726|29|304-788-1985| H |8/5/2015|License Number
WV000376|J F ALLEN COMPANY|J F ALLEN COMPANY|PO BOX 2049|BUCKHANNON|WV|262017049|17|304-472-8890| C |8/5/2015|License Number
WV000378|FISHER TANK COMPANY|FISHER TANK COMPANY|3131 W 4TH STREET|CHESTER|PA|190131822|0|215-494-7200| C |4/9/2015|License Number
WV000379|HENKELS & MCCOY INC|HENKELS & MCCOY INC|985 JOLLY RD|BLUE BELL|PA|194221958|0|215-283-7644|A B C F I 999 |8/5/2015|License Number
WV000381|GASCO DRILLING INC|GASCO DRILLING INC|PO BOX 330|CEDAR BLUFF|VA|246090330|0|276-964-2696| I 999 002 |10/29/2015|License Number
WV000384|HOSPITALITY BUILDERS INC|HOSPITALITY BUILDERS INC|150 KNOLLWOOD DR|RAPID CITY|SD|57701|0|605-791-3400|A B D G |9/7/2015|License Number
WV000385|HARTMAN & HARTMAN INC|HARTMAN & HARTMAN INC|67 SEAL ROAD|EIGHTY FOUR|PA|153301828|0|724-239-6002|A B C D F G |8/5/2015|License Number
WV000388|EXCLUSIVE HOME DESIGNS LTD|EXCLUSIVE HOME DESIGNS LTD|3058 MOUNT VERNON RD|HURRICANE|WV|255269793|40|304-757-8978|A B C D E F G H |8/5/2015|License Number
WV000390|LUTHER P ALT|LUTHER P ALT|1974 KELLERS RIDGE RD|PETERSBURG|WV|268479717|12|304-257-8552| I 999 |8/5/2015|License Number
WV000392|BEITZEL CORPORATION|BEITZEL CORPORATION|12072 BITTINGER RD|GRANTSVILLE|MD|215363116|0|301-245-4107|A B C D F G |8/5/2015|License Number
WV000397|HOGSETT INSULATION CO INC|HOGSETT INSULATION CO INC|204 BARTON DR|BARBOURSVILLE|WV|255041104|06|304-529-6811|A B D E F G H I 999 |8/5/2015|License Number
WV000398|WARREN D SOMERVILLE|WARREN D BUILDERS|# 8 HEATHER GLEN|VIENNA|WV|26105|54|304-488-4547| B H |8/5/2015|License Number
WV000399|WILLIAM R SHARPE INC|WILLIAM R SHARPE INC|PO BOX 789|CLARKSBURG|WV|263020789|17|304-622-4681|A B C D E F G H I 999 |8/15/2015|License Number
WV000400|HARRY F ABBOTT JR|HARRY F ABBOTT JR|PO BOX 11858|LYNCHBURG|VA|24506|0|434-528-4423|A B C D E F G I 005 |12/9/2015|License Number
WV000401|MONTROSE CONSTRUCTION CO|MONTROSE CONSTRUCTION CO|RT 1 BOX 129|MONTROSE|WV|262830000|42|304-636-7752|A B D E F G H I 999 007 004 |8/5/2015|License Number
WV000408|FAMCO INC|FAMCO INC|PO BOX 1577|HUNTINGTON|WV|25716|06|304-529-3328| C I 999 |8/5/2015|License Number
WV000409|DAVID E MARTIN|MARTINS BACKHOE SERVICE|801 LITTLE ISLAND CREEK ROAD|PIPESTEM|WV|259798812|28|304-384-7126|A B C D E F G H I 002 |8/5/2015|License Number
WV000412|PERFORMANCE CONTRACTING INC|PERFORMANCE CONTRACTING INC|16400 COLLEGE BLVD|LENEXA|KS|66219|0|913-888-8600| B I 999 |8/5/2015|License Number
WV000415|THE WHITACRE ENGINEERING CO|THE WHITACRE ENGINEERING CO|PO BOX 8444|CANTON|OH|447118444|0|330-455-8505| I 007 |8/5/2015|License Number
WV000419|MULLINS CONSTRUCTION COMPANY|MULLINS CONSTRUCTION COMPANY|PO BOX 163|WHEELERSBURG|OH|45694|0|740-574-8012|A B D F G I 999 |8/5/2015|License Number
WV000421|SUNRISE CONSTRUCTION COMPANY INC|SUNRISE CONSTRUCTION COMPANY INC|352 MATLICK LANE PO BOX 256|MOATSVILLE|WV|264059731|01|304-457-2109| B F H |8/5/2015|License Number
