2015/04/03 10:48:59 - gen.res_b_WVdlc - INFO -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  - 
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000002', 'FERGUSON BROTHERS HEAT & PLUMB CO', 'FERGUSON BROTHERS HEAT & PLUMB CO', '912 MADISON AVE # 9127', 'HUNTINGTON', u'WV', u'257042522', u'06', u'304-522-8371', u'A B C D F G H ', u'11/16/2015', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000068', 'MCCLOY CONSTRUCTION COMPANY INC', 'PROFESSIONAL HOME SERVICE', '202 FERRY ST', 'CHARLESTON', u'WV', u'25314', u'20', u'304-342-9440', u'A B C D E F G H I 999 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000071', 'WILLIAM TURNBULL', 'T R TURNBULL ELECTRIC', '1015 1ST ST', 'HUNTINGTON', u'WV', u'257013101', u'06', u'304-522-4026', u'A ', u'8/3/2015', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000081', 'LEE REGER BUILDS INC', 'LEE REGER BUILDS INC', 'PO BOX 1872', 'SHINNSTON', u'WV', u'264313872', u'17', u'304-592-2083', u' B C I 999 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000082', 'LATEX CONSTRUCTION COMPANY', 'LATEX CONSTRUCTION COMPANY', 'PO BOX 917', 'CONYERS', u'GA', u'300120917', u'0', u'770-760-0820', u' F ', u'8/1/2015', 'License Number']
2015/04/03 10:49:01 - gen.res_b_WVdlc - INFO - ['WV000084', 'HOWARD L BOWERS CONTRACTING CO INC', 'HOWARD L BOWERS CONTRACTING CO INC', 'PO BOX 2249', 'WINTERSVILLE', u'OH', u'439530249', u'0', u'740-264-7731', u'A B C D E F G H I 020 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000085', 'TUCKER CO DIESEL & TRAILER REP INC', 'TUCKER CO DIESEL & TRAILER REP INC', 'PO BOX 366', 'PARSONS', u'WV', u'262870366', u'47', u'304-478-2430', u' B C ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000086', 'THE BEAVER EXCAVATING CO', 'THE BEAVER EXCAVATING CO', 'PO BOX 6059', 'CANTON', u'OH', u'44706', u'0', u'330-478-2151', u' C I 007 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000088', 'WOLVERINE FIRE PROTECTION CO', 'WOLVERINE FIRE PROTECTION CO', 'PO BOX 219', 'MOUNT MORRIS', u'MI', u'484580219', u'0', u'810-686-4630', u' I 999 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000091', 'MAC CONSTRUCTION INC', 'MAC CONSTRUCTION INC', '1028 PROPRIETORS RD UNIT A', 'COLUMBUS', u'OH', u'430857216', u'0', u'614-745-8268', u' B ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000094', 'KANAWHA VALLEY CONSTRUCTION AND ERE', 'KANAWHA VALLEY CONSTRUCTION AND ERE', 'PO BOX 5276', 'CHARLESTON', u'WV', u'253610276', u'20', u'304-346-7069', u'A B C E H ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000095', 'RANDY H TINCHER', 'TINCHER CONSTRUCTION', '1015 ORCHARD DR', 'RAINELLE', u'WV', u'259621819', u'13', u'304-438-5412', u'A B D G H I 999 007 004 005 001 010 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000098', 'RICHARD DOERR', 'RICHARD DOERR CONSTRUCTION', 'PO BOX 1876', 'ELKINS', u'WV', u'262411876', u'42', u'304-636-6786', u' B H ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000099', 'TRAM CONSTRUCTION INC', 'TRAM CONSTRUCTION INC', 'PO BOX 250', 'GARRISON', u'KY', u'41141', u'0', u'606-757-4874', u' C ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000104', 'TRI STATE ROOFING & SHEET METAL CO', 'TRI STATE ROOFING & SHEET METAL CO', 'PO BOX 1231', 'CHARLESTON', u'WV', u'253241231', u'20', u'304-755-8135', u' D I 999 010 037 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000107', 'CENTRAL GLASS CO OF CHARLESTON INC', 'CENTRAL GLASS CO OF CHARLESTON INC', 'PO BOX 6340', 'CHARLESTON', u'WV', u'253620340', u'20', u'304-343-5669', u' B H I 999 011 005 010 004 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000108', 'BENCHMARK CONSTRUCTION CO INC', 'BENCHMARK CONSTRUCTION CO INC', 'PO BOX 1018', 'HURRICANE', u'WV', u'25526', u'20', u'304-546-9099', u' C ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000110', 'FIRST FLOORING LLC', 'FIRST FLOORING LLC', '193 CUT OFF RUN', 'NEWTON', u'WV', u'25266', u'44', u'304-720-8255', u'A B C D E F G H I 027 ', u'8/23/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000111', 'MARKS CONSTRUCTION CO', 'MARKS CONSTRUCTION CO', '18 CARRIAGE LN', 'BRIDGEPORT', u'WV', u'26330', u'17', u'304-624-5612', u' B ', u'10/14/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000114', 'L R DORSEY INC', 'L R DORSEY INC', '2700 SMITH RD', 'CHARLESTON', u'WV', u'253142490', u'20', u'304-342-5712', u'A B C D E G H I 999 003 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000115', 'KALMAN FLOOR COMPANY', 'KALMAN FLOOR COMPANY', '1202 BERGEN PKWY STE 110', 'EVERGREEN', u'CO', u'804399546', u'0', u'303-674-2290', u' I 999 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000117', 'ROVER CONSTRUCTION INC', 'ROVER CONSTRUCTION INC', 'PO BOX 127', 'SAINT ALBANS', u'WV', u'25177', u'20', u'304-759-2100', u' C ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000119', 'UPTON CONSTRUCTION CO INC', 'UPTON CONSTRUCTION CO INC', 'PO BOX 39', 'DUNBAR', u'WV', u'25064', u'20', u'304-744-4627', u'A B C F G H I 999 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000120', 'NORTH MOUNTAIN CARPENTRY INC', 'NORTH MOUNTAIN CARPENTRY INC', '4194 DRY RUN RD', 'HEDGESVILLE', u'WV', u'25427', u'02', u'304-671-1037', u'A B H I 063 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000124', 'MARK R DEEM', 'MARK R DEEM PLUMBING & ELECTRIC', '200 MORROW RD', 'HUNTINGTON', u'WV', u'25701', u'06', u'304-522-3109', u'A D E G I 999 010 007 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000127', 'PRESTON ADKINS BUILDING INC', 'PRESTON ADKINS BUILDING INC', '208 MINK CROSSING', 'DANIELS', u'WV', u'25832', u'41', u'304-860-1034', u'A B C D E F G H I 999 004 010 009 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000129', 'J & H REINFORCING & STRUCTURAL EREC', 'J & H REINFORCING & STRUCTURAL EREC', 'PO BOX 60', 'PORTSMOUTH', u'OH', u'45662', u'0', u'740-355-0141', u' B I 011 ', u'8/28/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000132', 'BURTON LANCE', 'BURTON LANCE', '250 LOCUST HEIGHTS DR.', 'CLARKSBURG', u'WV', u'26301', u'17', u'304-622-7344', u' I 004 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000136', 'WALTER N YODER & SONS INC', 'WALTER N YODER & SONS INC', 'PO BOX 1337', 'CUMBERLAND', u'MD', u'215011337', u'0', u'301-729-0610', u'A B C D F G ', u'1/28/2016', 'License Number']
2015/04/03 10:49:08 - gen.res_b_WVdlc - INFO - ['WV000138', 'MOHAWK REBAR SERVICES INC', 'MOHAWK REBAR SERVICES INC', 'PO BOX 8468', 'CANTON', u'OH', u'447118468', u'0', u'440-268-0780', u' I 999 007 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000146', 'ROBERT R BILLER', 'R & B CONSTRUCTION CO', 'RR 1 BOX 104', 'BEVERLY', u'WV', u'26253', u'42', u'304-591-4276', u'A B C D E F G H I 004 ', u'8/8/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000148', 'PATRICK H BELBY', 'PATRICK H BELBY', '116 DANFIELD DR', 'WHEELING', u'WV', u'26003', u'26', u'304-242-9690', u'A ', u'8/1/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000156', 'THOMPSON REAL ESTATE INC', 'THOMPSON REAL ESTATE INC', '3106 PUTNAM AVENUE', 'HURRICANE', u'WV', u'25526', u'40', u'304-741-2820', u' B C E G H I 999 010 009 005 001 003 007 004 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000160', 'JUDD THOMPSON', 'JUDD THOMPSON', 'PO BOX 8', 'HURRICANE', u'WV', u'255260565', u'40', u'304-562-2553', u' B C E G H I 999 010 009 001 003 005 007 004 ', u'5/6/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000162', 'WILLIAM J THOMPSON JR', 'WILLIAM J THOMPSON JR', '3106 PUTNAM AVENUE', 'HURRICANE', u'WV', u'25526', u'40', u'304-741-2820', u' B C E G H I 999 010 009 001 003 005 007 004 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000165', 'DUARTES ROOFING & SHEET METAL CO', 'DUARTES ROOFING & SHEET METAL CO', '412 N OHIO AVE', 'CLARKSBURG', u'WV', u'263020748', u'17', u'304-622-3543', u' I 009 010 069 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000166', 'WALTERS CONSTRUCTION INC', 'WALTERS CONSTRUCTION INC', '600 FULTON ST', 'WHEELING', u'WV', u'260036534', u'35', u'304-233-1121', u'A B C D E F G H I 999 004 007 010 009 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000172', 'NELSON CONSTRUCTION LLC', 'NELSON CONSTRUCTION LLC', '1168 MAUZY GAP RD', 'FRANKLIN', u'WV', u'26807', u'36', u'304-358-7338', u' C ', u'9/18/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000174', 'M W KRYZAK & SONS INCORPORATED', 'M W KRYZAK & SONS INCORPORATED', '17 KEYSTONE DR', 'CHARLESTON', u'WV', u'253111031', u'20', u'304-344-3663', u' D ', u'9/14/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000177', 'SHEPPARD BROTHERS INC', 'SHEPPARD BROTHERS INC', '3125 SCOTT DEPOT RD', 'SCOTT DEPOT', u'WV', u'25560', u'40', u'304-757-4972', u' B H ', u'8/4/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000180', 'ROB BORAM CONSTRUCTION INC', 'ROB BORAM CONSTRUCTION INC', '536 CHARLES ST', 'WELLSBURG', u'WV', u'260701719', u'05', u'304-737-1005', u'A B D E G H I 999 ', u'8/1/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000182', 'BLAUCH BROTHERS INC', 'BLAUCH BROTHERS INC', 'PO BOX 1092', 'HARRISONBURG', u'VA', u'228011092', u'0', u'540-434-2589', u' D G ', u'8/1/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000185', 'MACKEY CONTRACTORS', 'MACKEY CONTRACTORS', '107 MUNSON DR', 'BECKLEY', u'WV', u'258012047', u'41', u'304-253-1706', u' B C D E F G H I 015 007 004 002 010 009 006 003 ', u'8/2/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000187', 'ADAMS COOLING TOWER CONSTRUCTION IN', 'ADAMS COOLING TOWER CONSTRUCTION IN', 'PO BOX 191', 'MOORES HILL', u'IN', u'470320191', u'0', u'812-744-4223', u' I 999 ', u'8/2/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000195', 'KENNETH BENNETT', 'BOB BENNETT HOMES', 'PO BOX 5580', 'VIENNA', u'WV', u'261055580', u'54', u'304-295-0011', u' B C E G H I 999 ', u'9/30/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000197', 'STATELINE PIPE CORPORATION', 'STATELINE PIPE CORPORATION', 'PO BOX 103', 'BELPRE', u'OH', u'45714', u'0', u'304-422-5107', u' G ', u'12/23/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000200', 'RELIABLE ROOFING COMPANY', 'RELIABLE ROOFING COMPANY', 'PO BOX 1908', 'ELKINS', u'WV', u'262411908', u'42', u'304-636-7188', u' I 010 030 ', u'8/2/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000201', 'IVS HYDRO INC', 'IVS HYDRO INC', 'PO BOX 245', 'WAVERLY', u'WV', u'261840245', u'54', u'304-464-4340', u' B I 999 ', u'8/2/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000204', 'ORVILLE ADKINS', 'ADKINS HEATING & ELECTRIC', 'PO BOX 1266', 'MOUNT GAY', u'WV', u'256370633', u'23', u'304-752-8216', u'A B D E G H ', u'11/20/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000205', 'HAYSLETT CONSTRUCTION COMPANY INC', 'HAYSLETT CONSTRUCTION COMPANY INC', 'PO BOX 447', 'HURRICANE', u'WV', u'255260447', u'40', u'304-757-9348', u' B C E F G H ', u'8/2/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000206', 'SPENCERS REFRIGERATION INC', 'SPENCERS REFRIGERATION INC', 'PO BOX 737', 'PROCTORVILLE', u'OH', u'45669', u'O6', u'304-886-5700', u' D I 999 ', u'8/4/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000207', 'CIPOLETTI PLUMBING HEATING SUPPLY C', 'CIPOLETTI PLUMBING HEATING SUPPLY C', 'PO BOX 386', 'WELLSBURG', u'WV', u'260700386', u'05', u'304-737-0447', u'A D G ', u'8/2/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000208', 'MICHAEL PETRELLA', 'MICHAEL PETRELLA', '74 OVERLOOK TERRACE', 'COLLIERS', u'WV', u'260359638', u'05', u'304-748-3222', u' I 015 ', u'8/2/2015', 'License Number']
2015/04/03 10:49:15 - gen.res_b_WVdlc - INFO - ['WV000218', 'J L MOORE INC', 'J L MOORE INC', 'PO BOX 1355', 'SHEPHERDSTOWN', u'WV', u'25443', u'19', u'304-876-3294', u'A B D E G H ', u'8/2/2015', 'License Number']
2015/04/03 10:49:16 - gen.res_b_WVdlc - INFO - ['WV000222', 'BASIC CONCEPTS INC', 'PATTERSON BUILDING AND CONTRACTING', '103 CRESTWOOD DR', 'PARKERSBURG', u'WV', u'261049235', u'54', u'304-834-1991', u' B H I 009 010 015 ', u'8/2/2015', 'License Number']
2015/04/03 10:49:16 - gen.res_b_WVdlc - INFO - ['WV000227', 'FORD ASSOCIATES INC', 'FORD ASSOCIATES INC', '1547 SMITH ST', 'MILTON', u'WV', u'255411335', u'06', u'304-638-5906', u' B H ', u'8/31/2015', 'License Number']
2015/04/03 10:49:16 - gen.res_b_WVdlc - INFO - ['WV000228', 'VECELLIO & GROGAN INC', 'VECELLIO & GROGAN INC', 'PO BOX 2438', 'BECKLEY', u'WV', u'258022819', u'41', u'304-252-6575', u' C ', u'8/2/2015', 'License Number']
2015/04/03 10:49:16 - gen.res_b_WVdlc - INFO - ['WV000231', 'DAVE HINKLE ELECTRIC INC', 'DAVE HINKLE ELECTRIC INC', '4563 PLUTO RD', 'SHADY SPRING', u'WV', u'259188064', u'41', u'304-763-2089', u'A ', u'8/2/2015', 'License Number']
2015/04/03 10:49:16 - gen.res_b_WVdlc - INFO - ['WV000232', 'HARRIS BROTHERS ROOFING COMPANY', 'HARRIS BROTHERS ROOFING COMPANY', '1518 HANSFORD STREET', 'CHARLESTON', u'WV', u'253111917', u'20', u'304-343-5566', u' B D G I 010 999 ', u'8/2/2015', 'License Number']
2015/04/03 10:49:16 - gen.res_b_WVdlc - INFO - ['WV000233', 'CABELL SHEET METAL & ROOFING INC', 'CABELL SHEET METAL & ROOFING INC', 'PO BOX 448', 'CEREDO', u'WV', u'255070448', u'50', u'304-429-6918', u'A D F G I 999 ', u'8/2/2015', 'License Number']
2015/04/03 10:49:16 - gen.res_b_WVdlc - INFO - ['WV000234', 'C E ADKINS & SON INC', 'C E ADKINS & SON INC', '5069 GUYAN RIVER RD', 'HUNTINGTON', u'WV', u'257029730', u'06', u'304-523-5574', u' I 015 ', u'8/2/2015', 'License Number']
2015/04/03 10:49:16 - gen.res_b_WVdlc - INFO - ['WV000235', 'STUART-MCMUNN COMPANY', 'STUART-MCMUNN COMPANY', '137 NORTH 6TH STREET', 'CLARKSBURG', u'WV', u'26301', u'17', u'304-623-6666', u'A B C D E F G H ', u'8/2/2015', 'License Number']
2015/04/03 10:49:16 - gen.res_b_WVdlc - INFO - ['WV000240', 'VALCON INC', 'VALCON INC', 'PO BOX 180', 'FRANKFORD', u'WV', u'24938', u'13', u'304-497-3100', u' B E G H I 999 010 ', u'8/2/2015', 'License Number']
2015/04/03 10:49:16 - gen.res_b_WVdlc - INFO - ['WV000242', 'PIKE ELECTRIC LLC', 'PIKE ELECTRIC LLC', 'PO BOX 868', 'MOUNT AIRY', u'NC', u'270300868', u'0', u'336-789-2171', u'A D ', u'8/2/2015', 'License Number']
2015/04/03 10:49:16 - gen.res_b_WVdlc - INFO - ['WV000246', 'KALKREUTH ROOFING & SHEET METAL INC', 'KALKREUTH ROOFING & SHEET METAL INC', '53 14TH STREET SUITE 100', 'WHEELING', u'WV', u'26003', u'35', u'304-232-8540', u' I 999 010 ', u'8/2/2015', 'License Number']
2015/04/03 10:49:16 - gen.res_b_WVdlc - INFO - ['WV000247', 'ROY G HEFFNER INC', 'ROY G HEFFNER INC', '2612 COUNTY ROAD 124', 'CHESAPEAKE', u'OH', u'456198049', u'0', u'740-867-8596', u'A B D G ', u'8/2/2015', 'License Number']
2015/04/03 10:49:16 - gen.res_b_WVdlc - INFO - ['WV000249', 'KARRAS PAINTING LLC', 'KARRAS PAINTING LLC', '2408 EOFF STREET', 'WHEELING', u'WV', u'260033918', u'35', u'304-233-2211', u' I 015 ', u'8/2/2015', 'License Number']
2015/04/03 10:49:16 - gen.res_b_WVdlc - INFO - ['WV000250', 'MARQUART INC', 'MARQUART INC', 'PO BOX 6264', 'WHEELING', u'WV', u'260030726', u'35', u'304-547-0099', u'A B C D E F G H I 999 ', u'8/6/2015', 'License Number']
2015/04/03 10:49:16 - gen.res_b_WVdlc - INFO - ['WV000251', 'GEO V HAMILTON INC', 'GEO V HAMILTON INC', 'RIVER AVENUE', 'MCKEES ROCKS', u'PA', u'15136', u'0', u'412-771-0900', u' I 026 ', u'8/2/2015', 'License Number']
2015/04/03 10:49:16 - gen.res_b_WVdlc - INFO - ['WV000252', 'MID ATLANTIC STORAGE SYSTEMS INC', 'MID ATLANTIC STORAGE SYSTEMS INC', '1551 ROBINSON ROAD', 'WASHINGTON COURT HOUSE', u'OH', u'431609201', u'0', u'740-335-2019', u' C ', u'8/2/2015', 'License Number']
2015/04/03 10:49:16 - gen.res_b_WVdlc - INFO - ['WV000259', 'WILLIAM M BANE', 'WILLIAM M BANE', 'RT 3 BOX 3080', 'KEYSER', u'WV', u'26726', u'29', u'304-813-8408', u' I 999 ', u'8/2/2015', 'License Number']
2015/04/03 10:49:16 - gen.res_b_WVdlc - INFO - ['WV000263', 'JETER PAVING CO INC', 'JETER PAVING CO INC', '1445 OAK RIDGE PL', 'HAGERSTOWN', u'MD', u'217407449', u'0', u'301-797-6941', u' I 999 006 ', u'8/2/2015', 'License Number']
2015/04/03 10:49:16 - gen.res_b_WVdlc - INFO - ['WV000267', 'CAPITOL TUNNELING INC', 'CAPITOL TUNNELING INC', '2216 REFUGEE RD', 'COLUMBUS', u'OH', u'432072800', u'0', u'614-444-0255', u' C ', u'10/18/2015', 'License Number']
