licensee_type_cd|number_type|license_number|entity_name|last update|county|address1|city|state|zip|expiration_date|phone|fax
Licensed Lead Contractors|License Number|530|Best Technology Systems Inc.|4/18/2014|Will|NA|Plainfield|IL|60585||NA|NA
Licensed Lead Contractors|License Number|494|BILL'S HOME IMPROVEMENT|4/29/2014|MONTGOMERY|409 NORTH CHESTNUT STREET|LITCHFIELD|IL|62056||(217) 324-6454|(217) 324-6454
Licensed Lead Contractors|License Number|311|Boardwalk Contracting Inc.|4/7/2014|Marion|10 Holiday Terrance|Centralia|IL|62801||(618)-444-4313|
Licensed Lead Contractors|License Number|390|Boswell Enterprises|4/23/2014|Kankakee|NA|Bonfield|IL|60913||NA|NA
Licensed Lead Contractors|License Number|506|BRENNAN'S ENVIRONMENTAL SERVICES INC.|4/7/2014|Du Page|954 NORTH DU PAGE AVENUE|LOMBARD|IL|60148||(773) 725-8600|(773) 725-8630
Licensed Lead Contractors|License Number|416|Brian Waldon Const.|1/22/2014|Tazwell|15564 Larimore Rd.|Mackinaw|IL|61755||(309) 208-0184|(309) 359-8059
Licensed Lead Contractors|License Number|391|Brio Industries Inc.|5/12/2014|Will|13436 Kerr St.|Plainfield|IL|60585||(312) 735-1858|(312) 735-1858
Licensed Lead Contractors|License Number|522|Bruce Heinz Home Services|6/16/2014|Peoria|NA|Peoria|IL|61615||NA|NA
Licensed Lead Contractors|License Number|546|Bryan's Concrete and Masonry|5/5/2014|Jackson|307 S Giant City Road|Carbondale|IL|62902||(618) 521-6525|
Licensed Lead Contractors|License Number|523|BURNSIDE BROS. CONSTRUCTION|5/7/2013|PEORIA|NA|PEORIA|IL|61605||NA|NA
Licensed Lead Contractors|License Number|349|C&J Home Improvement|5/22/2014|Cook|3 Clearview Ct.|Lemont|IL|60439||(630)-243-9510|(630)-243-9580
Licensed Lead Contractors|License Number|518|CALDERON CONSTRUCTION LLC|2/5/2014|ROCK ISLAND|NA|ROCK ISLAND|IL|61201||NA|NA
Licensed Lead Contractors|License Number|322|Cannon Sline Industrial Inc.|6/12/2014||4527 Columbia Avenue 2nd Floor|Hammond|IN|46327||(219) 937-8100|(219) 933-1075
Licensed Lead Contractors|License Number|56|Cardinal Environmental Operations Corp.|4/16/2014|Out of State|4518 Woodson Rd. P.O. Box 5847|St. Louis|MO|63134||(314)-890-2088|(314)-890-0042
Licensed Lead Contractors|License Number|192|CASS Environmental Services Inc.|5/12/2014|Cook|1725 Heather Hill Cres.|Flossmoor|IL|60422||(708)-647-8571|(708)-957-0119
Licensed Lead Contractors|License Number|427|Celtic Environmental Company|5/29/2014|Cook|NA|Lyons|IL|60534||NA|NA
Licensed Lead Contractors|License Number|180|Cenpro Services Inc.|4/15/2014|Madison|18 Fox Industrial Dr. P.O. Box 259|Madison|IL|62060||(618)-876-1000|(618)-876-1007
Licensed Lead Contractors|License Number|540|Certified Window Company INC|6/2/2014|Cook|2840 W. Central Park Avenue|Chicago|IL|60618||(773) 772-7470|(773) 772-7625
Licensed Lead Contractors|License Number|371|CL Coatings LLC|4/7/2014|Will|8450 W. 191st St. Unit #19|Mokena|IL|60448||(815)-464-3053|(815) 464-3062
Licensed Lead Contractors|License Number|161|Clymer Construction|4/8/2014|St. Clair|8044 N. Illinois St.|Caseyville|IL|62232||(618)-345-1972|(618)-345-1972
Licensed Lead Contractors|License Number|519|CNM DEVELOPMENT LLC|4/18/2014|COOK|1266 WAYNE DRIVE|DES PLAINES|IL|60018||(847) 602-2327|(858) 923-1125
Licensed Lead Contractors|License Number|21|Colfax Corporation|5/19/2014|Cook|NA|Chicago|IL|60647||NA|NA
Licensed Lead Contractors|License Number|509|COLUMBUS CONSTRUCTION INC.|4/7/2014|COOK|904 N. WESTERN|PARK RIDGE|IL|60068||(847) 293-2113|
Licensed Lead Contractors|License Number|482|Complete Construction & Electric|4/8/2014|Saline|811A Briddick Street|Eldorado|IL|62930||(618) 273-5123|
Licensed Lead Contractors|License Number|459|CPMA INC.|5/16/2014||NA|Lincolnwood|IL|60712||NA|NA
Licensed Lead Contractors|License Number|454|Crook Construction|7/27/2013|Macoupin|207 N. Salisbury|Gillespie|IL|62033||(217) 306-0626|(618) 362-6341
Licensed Lead Contractors|License Number|408|D&O Environmental Inc.|5/7/2013|Macon|3849 Skippy Dr.|Decatur|IL|62526||(217) 875-1016|(217) 875-5761
Licensed Lead Contractors|License Number|455|D&T Construction|4/7/2014|Stephenson|4570 Basswood Rd.|Orangeville|IL|61060||(815) 541-4791|
Licensed Lead Contractors|License Number|106|DEM Services Inc.|4/24/2014|Du Page|1765 Cortland Court Suite A|Addison|IL|60101||(708)-544-2244|(708)-544-2266
Licensed Lead Contractors|License Number|401|Done Right Environmental Inc.|4/24/2014|Du Page|15 W. 211 Concord St.|Elmhurst|IL|60126||(847) 344-5412|
Licensed Lead Contractors|License Number|362|DPB Abatement Services Inc.|4/24/2014|Cook|NA|Dolton|IL|60419||NA|NA
Licensed Lead Contractors|License Number|470|Drake Siding & Sunrooms|4/24/2014|Coles|NA|Charleston|IL|61920||NA|NA
Licensed Lead Contractors|License Number|191|DRT Construction Inc.|3/31/2014|Jackson|NA|Murphysboro|IL|62966||NA|NA
Licensed Lead Contractors|License Number|561|Duck-Air Abatement|5/19/2014|Peoria|NA|Peoria|IL|61615||NA|NA
Licensed Lead Contractors|License Number|358|DVBC Inc.|4/23/2014||NA|Big Rock|IL|60511||NA|NA
Licensed Lead Contractors|License Number|206|E & L Siding And Remodeling|5/2/2014|Cass|303 Sangamon Street|Beardstown|IL|62618||(217)-323-1792|(217)-323-4692
Licensed Lead Contractors|License Number|124|Eason Environmental Services Inc.|5/12/2014|Cook|12056 S. Union Ave.|Chicago|IL|60628||(773)-785-2777|(773)-785-2764
Licensed Lead Contractors|License Number|558|EB General Contracting|5/16/2014|Rock Island|137 4th Avenue|Moline|IL|61265||(309) 757-0080|(309) 757-0095
Licensed Lead Contractors|License Number|71|EHC Industries Inc.|4/23/2014|Lake|366 Hollow Hill Rd.|Wauconda|IL|60084||(847)-526-9515|(847)-526-6899
Licensed Lead Contractors|License Number|346|Enviricon 1 LLC|5/8/2013|Cook|1318 N. Sandburg Ter.|Chicago|IL|60610||(312)-371-8698|(312)-649-6613
Licensed Lead Contractors|License Number|236|ENVIRONMENTAL AND DEMOLITION CONTRACTORS|7/2/2013|DUPAGE|1 TRANS AM PLAZA DRIVE SUITE 500|OAK BROOK TERRACE|IL|60181||(312)-656-3215|(630)-257-2849
Licensed Lead Contractors|License Number|341|Environmental Operations Inc.|4/7/2014|Out of State|1530 S. Second St. Ste. #200|St. Louis|MO|63104||(314)-241-0900|(314)-436-2900
Licensed Lead Contractors|License Number|424|ENVIRONMENTAL REMEDIATION SERVICES LLC|1/16/2014|Madison|10674 SILVER CREEK ROAD|NEW DOUGLAS|IL|62074||(618) 781-2906|(618) 288-5122
Licensed Lead Contractors|License Number|510|ENVIRONMENTAL SPECIALTY SOLUTIONS INC.|5/8/2013|COOK|P.O. BOX 44|STEGER|IL|60475||(708) 475-2616|(708) 754-5857
Licensed Lead Contractors|License Number|24|ENVIROPLUS INC.|4/7/2014|COOK|NA|SKOKIE|IL|60076||NA|NA
Licensed Lead Contractors|License Number|331|Envirotech Inc.|4/29/2014|Out of State|2737 Papin St.|St. Louis|MO|63103||(314)-865-1293|(314)-865-2782
Licensed Lead Contractors|License Number|26|Era-Valdivia Contractors Inc.|5/28/2014|Cook|11909 S. Avenue O|Chicago|IL|60617|5/31/2009|(773)-721-9350|(773)-721-8027
Licensed Lead Contractors|License Number|533|EXPRESS CONTRACTING|10/28/2013|ROCK ISLAND|928 37TH AVENUE|ROCK ISLAND|IL|61201||(309) 788-2821|(309) 788-2826
Licensed Lead Contractors|License Number|456|Extended Home Living Services Inc.|4/8/2014|Cook|NA|Arlington Heights|IL|60004||NA|NA
Licensed Lead Contractors|License Number|547|EXTREME EXTERIOR PROS INC|8/28/2013|ADAMS|2019 MAPLE|QUINCY|IL|62301||(217) 779-1512|(217) 224-5205
Licensed Lead Contractors|License Number|241|Fore Heating A/C & Electrical|5/12/2014|Richland|NA|Olney|IL|62450||NA|NA
Licensed Lead Contractors|License Number|98|Freeman Environmental Services Inc.|4/8/2014|Williamson|115 N. Sixteenth St.|Herrin|IL|62948||(618)-988-1515|(618)-988-6699
Licensed Lead Contractors|License Number|116|Galaxy Environmental Inc.|4/16/2014|Cook|PO BOX 411028|CHICAGO|IL|60641||(773)-427-2980|(773)-427-2982
Licensed Lead Contractors|License Number|146|Gary Bangert|4/16/2014|Cook|6213 N. Canfield Ave.|Chicago|IL|60631||(773)-443-7682|(773)-631-2151
Licensed Lead Contractors|License Number|468|GEM Carpentry|4/8/2014|Coles|5197 Lincoln Highway Rd.|Charleston|IL|61920||(217) 348-9220|(217) 348-9220
Licensed Lead Contractors|License Number|47|General Waste Services Inc.|4/7/2014|Madison|P.O. Box 90 2398 Belle St.|Alton|IL|62002||(618)-465-0269|(618)-465-1303
Licensed Lead Contractors|License Number|536|Gerke Enterprises Inc.|4/15/2014|Winnebago|3222 New England Drive|Rockford|IL|61109||(815) 601-6021|
Licensed Lead Contractors|License Number|207|Giacoma Construction|4/7/2014|Franklin|291 Sandburg Rd.|W. Frankfort|IL|62896||(618) 988-8498|(618)-932-2600
Licensed Lead Contractors|License Number|414|Gibson Custom Homes Inc.|5/28/2013|Kankakee|5624 ANITA AVE|ST ANNE|IL|60964||(815) 955-2255|
Licensed Lead Contractors|License Number|551|GLASSTEK LLC|6/2/2014|COOK|21200 S LAGRANGE ROAD SUITE 310|FRANKFORT|IL|60423||(877) 754-3462|(877) 754-3462
Licensed Lead Contractors|License Number|562|Global A Com Inc.|3/10/2014|Cook|NA|Schiller Park|IL|60176||NA|NA
Licensed Lead Contractors|License Number|535|GO Construction LLC|4/16/2014|Lake|NA|Waukegan|IL|60085||NA|NA
Licensed Lead Contractors|License Number|407|Good Enviro Inc.|5/19/2014|Cook|NA|Oak Lawn|IL|60453||NA|NA
Licensed Lead Contractors|License Number|443|Gorafix Inc.|5/19/2014|DuPage|600 County Line Rd. Ste. #1S|Bensenville|IL|60106||(630) 694-9494|(630) 694-9495
Licensed Lead Contractors|License Number|165|Great Western Abatement Inc.|3/31/2014|Sangamon|1337 Wabash Ave.|Springfield|IL|62704||(217)-787-9444|(217)-787-9464
Licensed Lead Contractors|License Number|425|Hall's Enterprises|5/2/2014|Kankakee|6712 S. Route 45-52|Chebanse|IL|60922||(815) 370-8612|(815) 697-2295
Licensed Lead Contractors|License Number|374|Hartman Walsh Painting Company|4/24/2014||7144 North Market Street|St. Louis|MO|63133||(314)-863-1800|(314)-863-6964
Licensed Lead Contractors|License Number|420|Have Hammer Will Travel Inc.|4/29/2014|Kankakee|54 Duncan Dr.|Bourbonnais|IL|60914||(815) 693-6587|
Licensed Lead Contractors|License Number|393|Hernandez Environmental Construction Inc.|5/8/2014|Cook|6115 S. Mozart St.|Chicago|IL|60629||(773) 863-0298|(773) 863-0312
Licensed Lead Contractors|License Number|67|High Efficiency Professional Abate. Inc.|4/7/2014|Cook|4501 Cortez St.|Chicago|IL|60651||(773)-342-7553|(773)-342-7540
Licensed Lead Contractors|License Number|63|Holian Asbestos Removal & Encapsulation Corp.|4/18/2014|Mc Henry|NA|Spring Grove|IL|60081||NA|NA
Licensed Lead Contractors|License Number|223|Hollenback Construction|5/27/2014|Fulton|NA|Table Grove|IL|61482||NA|NA
Licensed Lead Contractors|License Number|132|Hyde Park Environmental Services Inc.|4/7/2014|Cook|727 S. Dearborn St. #312|Chicago|IL|60605||(312)-663-5680|(312)-663-9369
Licensed Lead Contractors|License Number|446|Imes Construction Inc.|4/10/2014|Kewanee|705 Pleasant St.|Kewanee|IL|61443||(309) 852-0312|(309) 852-0312
Licensed Lead Contractors|License Number|503|Innovative Construction Management Services Inc. (ICMS)|6/11/2014|Madison|NA|Alton|IL|62002||NA|NA
Licensed Lead Contractors|License Number|544|Integrated Environmental Solutions Inc|3/27/2013|Cook|13435 Kolmar Ave|Crestwood|IL|60445||(708) 926-9588|(708) 926-9251
Licensed Lead Contractors|License Number|18|Iowa-Illinois Taylor Insulation Inc.|4/15/2014|Out of State|P.0. Box 2810|Davenport|IA|52809||(563)-391-8100|(563)-391-8200
Licensed Lead Contractors|License Number|426|J & A Industrial Painting Co.|5/2/2014|Cook|NA|Orland Park|IL|60462|5/31/2009|NA|NA
Licensed Lead Contractors|License Number|439|J&C Environmental|3/27/2014|Kane|160 South Aldine Avenue|Elgin|IL|60123||(847) 531-8370|(847) 608-9896
Licensed Lead Contractors|License Number|352|J.L.T. ENVIRONMENTAL INC.|5/8/2013|COOK|10816 S. BEVERLY AVE|CHICAGO|IL|60643||(773)-648-1422|(773)-298-0911
Licensed Lead Contractors|License Number|185|J.P. General Construction Inc.|6/19/2014|Cook|300 W. Golf Rd. Ste. #207|Mt. Prospect|IL|60056||(847)-222-1450|(847)-222-1451
Licensed Lead Contractors|License Number|360|J.W. Summy Contracting Corp.|4/10/2014|Henry|700 N. Main St.|Kewanee|IL|61443||(309)-525-1744|(309)-853-1370
Licensed Lead Contractors|License Number|280|Jesman Construction Inc.|5/22/2013|Du Page|532 Garfield Ave.|Aurora|IL|60506||(630)-897-7654|(630)-897-7654
Licensed Lead Contractors|License Number|492|JLH ENERGY & ENVIRONMENTAL LLC|1/22/2014|TAZEWELL|15564 LARIMORE DRIVE|MACKINAW|IL|61755||(309) 337-5941|(309) 359-8059
Licensed Lead Contractors|License Number|138|Johnson Contracting Company Inc.|4/18/2014|Rock Island|NA|E. Moline|IL|61244||NA|NA
Licensed Lead Contractors|License Number|557|Johnson's Roofing|5/2/2014|Madison|5 Pioneer Trail|Glen Carbon|IL|62034||(618) 205-5198|(618) 205-5196
Licensed Lead Contractors|License Number|534|K & A Environmental Services Inc.|5/7/2014|Cook|5841 S Fairfield Avenue|Chicago|IL|60629||(773) 661-3240|(773) 661-3241
Licensed Lead Contractors|License Number|515|Kam Services Inc.|4/9/2014|Coles|2417 Marshall Ave.|Mattoon|IL|61938||(217) 235-9537|(217) 235-0299
Licensed Lead Contractors|License Number|216|Ken Bowers Construction|11/6/2013|Franklin|NA|W. Frankfort|IL|62896||NA|NA
Licensed Lead Contractors|License Number|176|Kinsale Contracting Group Inc.|4/29/2014|Du Page|NA|Westmont|IL|60559||NA|NA
Licensed Lead Contractors|License Number|130|Lake Environmental Inc.|5/8/2013|Out of State|P.O. Box 98|W. Alton|MO|63386||(314) 741-4111|(314) 741-4471
Licensed Lead Contractors|License Number|504|LANDEROS & SONS CONSTRUCTION INC.|4/22/2014|ROCK ISLAND|1636 19TH AVENUE|MOLINE|IL|61265||(309) 912-4850|
Licensed Lead Contractors|License Number|566|LEYDEN REMODELING INC|4/10/2014|COOK|1821 N 73RD AVENUE|ELMWOOD PARK|IL|60707||(773) 895-9631|
Licensed Lead Contractors|License Number|543|Luv It Construction|5/22/2014|Coles|PO Box 1521|Mattoon|IL|61938||(217) 962-1200|
Licensed Lead Contractors|License Number|50|LVI Environmental Services Inc.|4/4/2014|Du Page|621 E. Wildwood Ave.|Villa Park|IL|60181||(630)-758-0202|(630)-758-0720
Licensed Lead Contractors|License Number|200|M & O Environmental Company|4/10/2014|Cook|P.O. BOX 759|Homewood|IL|60430||(309)-692-6700|(309)-692-9812
Licensed Lead Contractors|License Number|271|M.K. Construction|4/16/2014|Cook|3703 S. Fifty-Fourth Ave. Unit. #1|Cicero|IL|60804||(708)-656-5913|
Licensed Lead Contractors|License Number|233|M.T. Construction|4/18/2014|White|106 Neeley Cir.|Carmi|IL|62821||(618) 383-1545|(618) 382-7444
Licensed Lead Contractors|License Number|228|MACRO PAINTING & REMODELING|4/18/2014|COOK|NA|CHICAGO|IL|60634||NA|NA
Licensed Lead Contractors|License Number|475|MARTINI PROPERTIES INC.|6/9/2014|SAINT CLAIR|301 EMILY DRIVE|O'FALLON|IL|62269||(618) 616-9168|(866) 397-3185
Licensed Lead Contractors|License Number|415|MICHLYN CORPORATION OF PEORIA|11/25/2013|PEORIA|P.O. BOX 5895|PEORIA|IL|61601||(309) 303-1561|(309) 966-0230
Licensed Lead Contractors|License Number|366|Midland Remodeling|4/18/2013|Cook|16429 Trumbull Ave.|Markham|IL|60428||(708) 339-8440|(708) 339-6474
Licensed Lead Contractors|License Number|449|Midway Contracting Group LLC|4/18/2014|Cook|7413 Duvan Drive Unit #2A|Tinley Park|IL|60477||(708) 259-5769|(773) 284-0602
Licensed Lead Contractors|License Number|120|Midwest Asbestos Abatement Corporation|4/22/2014|Out of State|560 Turner Blvd.|St. Peters|MO|63376||(636)-926-7800|(636)-926-7802
Licensed Lead Contractors|License Number|490|Midwest Construction Services of IL LLC|5/12/2014||9574 North Industrial Drive|St. John|IN|46373||(219) 365-8802|(219) 365-8812
Licensed Lead Contractors|License Number|462|Mike Parker Construction|4/10/2014|McDonough|NA|Macomb|IL|61455||NA|NA
Licensed Lead Contractors|License Number|538|MISSISSIPPI VALLEY CONST|4/15/2014|ADAMS|2219 COLLEGE AVENUE|QUINCY|IL|62301||(217) 223-5362|(217) 223-5362
Licensed Lead Contractors|License Number|553|MODUS CONSTRUCTION INC|9/11/2013|COOK|4623 N CHESTER SUITE 210|CHICAGO|IL|60656||(773) 625-2657|(773) 625-2657
Licensed Lead Contractors|License Number|480|Nationwide Environmental & Demo LLC|5/19/2014|Cook|1580 N. Northwest Highway Suite 120|Park Ridge|IL|60018||(847) 813-6069|(224) 567-8837
Licensed Lead Contractors|License Number|294|NES Inc.|4/7/2014|Will|19015 Jodi Rd. Unit B|Mokena|IL|60448||(708)-478-5497|(708)-478-5801
Licensed Lead Contractors|License Number|499|OMEGA DEMOLITION CORPORATION|4/10/2014|COOK|31W566 SPAULDING ROAD|ELGIN|IL|60120||(630) 837-3000|(630) 837-2300
Licensed Lead Contractors|License Number|140|Ostrom Painting & Sandblasting Inc.|5/8/2013|Rock Island|P.O. BOX 4120|Rock Island|IL|61204||(309)-788-1933|(309)-788-1952
Licensed Lead Contractors|License Number|58|Parliament Builders Inc.|4/8/2014|Cook|4455 South Knox Avenue|Chicago|IL|60632||(773)-471-4116|(773) 284-7209
Licensed Lead Contractors|License Number|367|Peak Services LLC|4/16/2014|Out of State|NA|St. John|IN|46373||NA|NA
Licensed Lead Contractors|License Number|239|Pedro N. Valladeres|4/16/2014|Rock Island|2207 Forty-Fourth St.|Moline|IL|61265||(309)-292-1278|
Licensed Lead Contractors|License Number|54|Peoria Citizens Committee for Economic Opportunity Inc.|4/18/2014|Peoria|NA|Peoria|IL|61605||NA|NA
Licensed Lead Contractors|License Number|491|Phoenix Construction Company of Illinois Inc.|4/7/2014|Cook|NA|Palatine|IL|60074||NA|NA
Licensed Lead Contractors|License Number|493|PHOENIX PROPERTIES INC.|5/19/2014|PEORIA|1921 WEST WILLOW KNOLLS ROAD SUITE F|PEORIA|IL|61614||(309) 638-4663|(309) 683-4665
Licensed Lead Contractors|License Number|525|PRAIRIE HOME CONSTRUCTION INC.|4/29/2014|MCDONOUGH|7998 NORTH 1500 ROAD|MACOMB|IL|61455||(309) 333-6584|
Licensed Lead Contractors|License Number|466|Pro Lead Inc.|5/22/2014|Cook|2700 E. Ninety-Sixth St.|Chicago|IL|60617||(773) 656-8349|(773) 978-2674
Licensed Lead Contractors|License Number|508|Quality Assured Industrial Coatings|6/12/2014|Madison|804 Hopp Hollow Drive|Alton|IL|62002||(618) 466-0003|(618) 466-8232
Licensed Lead Contractors|License Number|505|QUINCY INDUSTRIAL PAINTING CO. INC.|4/7/2014|ADAMS|2000 NORTH 24TH STREET|QUINCY|IL|62301||(217) 222-6710|(217) 222-6732
Licensed Lead Contractors|License Number|487|QUITTSCHREIBER CONSTRUCTION INC.|4/7/2014|STEPHENSON|1510 SOUTH VAN BROCKLIN ROAD|FREEPORT|IL|61032||(815) 541-9290|(815) 616-5527
Licensed Lead Contractors|License Number|552|R & B Construction|5/19/2014||NA|West Frankfort|IL|62896||NA|NA
Licensed Lead Contractors|License Number|501|REMEDIATION AND MANAGEMENT SERVICES CORPORATION (RAMSCO)|5/8/2013|Du PAGE|902 S. RANDALL RD. STE. C 282|ST. CHARLES|IL|60174||(630) 443-5150|(630) 443-0266
Licensed Lead Contractors|License Number|194|Robaco Construction|5/8/2013|MONTGOMERY|820 N. Jackson St.|Litchfield|IL|62056||(217)-324-6445|(217)-324-6445
Licensed Lead Contractors|License Number|37|Robinson Brothers Environmental Inc.|4/7/2014|OUT OF STATE|220 Raemisch Rd.|Waunakee|WI|53597||(608)-849-6980|(608)-849-6722
