company_name|license_number|licensee_type_cd|licensee_type_cd|expiration_date|address1/city/state/zip|phone_number_type|phone|qualifying_individual|license_type2
BOULDER ZED DESIGN BUILD|LIC-0009913|07|General Contractor|Class|A|08/15/2015|2787 NORTHBROOK PLACE BOULDER, CO 80304|Brian Hludzinski
BRINKMANN CONSTRUCTORS|LIC-0010097|07|General Contractor|Class|A|11/06/2015|3855 LEWISTON ST STE 100 AURORA, CO 80011|720-606-9986|303-657-9700|Robert Brinkmann|28|Right-of-Way|06/28/2015
BRYAN CONSTRUCTION INC|LIC-0006301|07|General Contractor|Class|A|05/13/2015|7025 CAMPUS DR COLORADO SPRINGS, CO 80920|719-632-5355|Scott Bryan
BUFFALO BUILDERS, INC|LIC-0008061|07|General Contractor|Class|A|01/10/2016|222 E CUCHARRAS ST COLORADO SPRINGS, CO 80903|719-578-8100|Russell Negaard
BURKE BUILDERS, LLC|LIC-0006710|07|General Contractor|Class|A|08/20/2015|5454 CONESTOGA CT BOULDER, CO 80301|720-627-5364|Richard Burke
BVB GENERAL CONTRACTORS LLC|LIC-0008618|07|General Contractor|Class|A|03/07/2016|1289 S 4TH AVE BRIGHTON, CO 80601|303-637-0981|James Vigessa
CAI MARKETING INC|LIC-0009934|07|General Contractor|Class|A|10/18/2015|2360 BRAUN DR GOLDEN, CO 80401|303-215-0475|Charles Ingram
CALCON CONSTRUCTORS INC|LIC-0002397|07|General Contractor|Class|A|09/13/2015|2270 W BATES AVE ENGLEWOOD, CO 80110|303-762-1554|303-762-1554|James Bosshart|28|Right-of-Way|04/16/2016
C-CORPORATION|LIC-0009890|07|General Contractor|Class|A|05/16/2015|1225 ITHACA DR BOULDER, CO 80305|303-319-0564|Christopher Miller
CLUNE CONSTRUCTION COMPANY LP|LIC-0009846|07|General Contractor|Class|A|02/26/2016|350 S GRAND AVE STE 1600 LOS ANGELES, CO 90071|213-680-7450|Robert Dahlstrom
COE CONSTRUCTION INC|LIC-0002959|07|General Contractor|Class|A|05/11/2015|2302 E 13TH ST LOVELAND, CO 80537|970-663-7636|Gregg Meisinger|28|Right-of-Way|08/13/2013
COLARELLI CONSTRUCTION INC|LIC-0007920|07|General Contractor|Class|A|04/13/2015|111 S TEJON STE 112 COLORADO SPRINGS, CO 80903|719.475.7997|Vince Colarelli|28|Right-of-Way|04/13/2015
COLORADO STRUCTURES, INC|LIC-0009830|07|General Contractor|Class|A|04/02/2016|540 ELKTON DR STE 202 COLORADO SPRINGS, CO|719-522-0500|Timothy Phelan
COMPLETE BASEMENT SYSTEMS|LIC-0007575|07|General Contractor|Class|A|06/24/2015|3250 QUENTIN ST STE 104 AURORA, CO 80011|303-805-8751|Rodney Martin
COMPREHENSIVE RISK SERVICES LLC|LIC-0010768|07|General Contractor|Class|A|12/11/2015|DBA CRS/COCAT PHOENIX, AZ 85040|602-845-6124|JOHN ASHTON
CONSTRUCTION BROKERS, INC|LIC-0006991|07|General Contractor|Class|A|03/31/2016|800 BROOKLYN AVE KANSAS CITY, MO 64124|816-471-7094|John Miceli
COOPER BUILDING GROUP LLC|LIC-0010382|07|General Contractor|Class|A|02/12/2016|762 FURROW WAY LAFAYETTE, CO 80026|303-875-9211|Kevin Cooper
CRB BUILDERS, LLC|LIC-0008972|07|General Contractor|Class|A|01/31/2016|701 EMERSON RD STE 500 ST LOUIS, MO 63141|314-997-0244|858-525-5327|Robert McCaughern
DENEUVE DESIGN, INC|LIC-0001155|07|General Contractor|Class|A|02/01/2016|DBA DENEUVE CONSTRUCTION SVCS BOULDER, CO|303-444-6633|303-515-2229|Philip Shull
DSP BUILDERS INC|LIC-0001008|07|General Contractor|Class|A|01/20/2016|4475 E 74TH AVE STE 201 COMMERCE CITY, CO 80022|303-289-0666|Thomas Oxley
DUGGAN CONSTRUCTION, LLC|LIC-0008206|07|General Contractor|Class|A|09/24/2015|1900 FOLSOM ST STE 201 BOULDER, CO 80302|303.974.8744|Christopher Duggan|28|Right-of-Way|07/17/2015
DUKE BUILDERS & DESIGN|LIC-0010407|07|General Contractor|Class|A|10/30/2015|370 E PRAIRIE ST UNIT 13 CRYSTAL LAKE, IL 60014|779-220-4277|R. Steven Lawson
ELDER CONSTRUCTION|LIC-0010726|07|General Contractor|Class|A|10/10/2015|7380 GREENDALE RD WINDSOR, CO 80550|970-744-4731|Austin Dodder
EMBREE CONSTRUCTION GROUP INC|LIC-0003917|07|General Contractor|Class|A|08/18/2015|4747 WILLIAMS DR GEORGETOWN, TX 78628|512-819-4700|Jim Embree
EVERS GENERAL CONSTRUCTION CO|LIC-0005133|07|General Contractor|Class|A|05/31/2015|LLC|303-412-0770|Bill Evers|28|Right-of-Way|12/12/2013
FACILITIES CONTRACTING, INC|LIC-0003471|07|General Contractor|Class|A|11/29/2015|981 SOUTHPARK DR LITTLETON, CO 80120|303-798-7111|Michael McKesson
FAUROT CONSTRUCTION INC|LIC-0002249|07|General Contractor|Class|A|08/13/2015|4439 N BROADWAY STE G BOULDER, CO 80304|303-642-7212|Jason Goode
FAVER GRAY COMPANY|LIC-0010769|07|General Contractor|Class|A|12/19/2015|415 PABLO AVE SUITE 200 JACKSONVILLE BEACH, FL|W. Keith Faver
FCI CONSTRUCTORS INC|LIC-0002338|07|General Contractor|Class|A|09/16/2015|PO BOX 1767 GRAND JUNCTION, CO 81502|970-434-9093|970-434-9093|Ed Forsman|28|Right-of-Way|09/16/2015
FIORE & SONS, INC|LIC-0960442|07|General Contractor|Class|A|08/23/2015|730 W 62ND AVE DENVER, CO 80216|303-429-8893|Larry Fiore Jr|10|General Contractor|Class|D-1 Demolition & Moving|02/26/2016|28|Right-of-Way|03/11/2016
FLATIRONS ENERGY, INC|LIC-0009040|07|General Contractor|Class|A|02/20/2016|PO BOX 18584 BOULDER, CO 80308|31|Stephen French|28|Right-of-Way|08/06/2013|General Contractor|Class|G Energy Inspector|03/13/2012
FRANSEN PITTMAN CONSTRUCTION|LIC-0008947|07|General Contractor|Class|A|01/23/2016|CO|303-783-3900|John Pittman|28|Right-of-Way|01/02/2016
FRASIER MEADOWS MANOR|LIC-0001438|07|General Contractor|Class|A|04/12/2015|350 PONCA PL BOULDER, CO 80303|303-499-4888|Charles Wellman
GAMMA CONSTRUCTION COMPANY|LIC-0005216|07|General Contractor|Class|A|12/30/2015|4490 E VIRGINIA AVE GLENDALE, CO 80246|303-394-4892|Cecil Windsor, Jr.
GE JOHNSON CONST COMPANY INC|LIC-0002595|07|General Contractor|Class|A|07/26/2015|25 N CASCADE AVE STE 400 COLORADO SPRINGS, CO|970-377-2464|719-473-5321|Daniel Starr|28|Right-of-Way|09/26/2015
GERALD H PHIPPS INC|LIC-0001577|07|General Contractor|Class|A|04/02/2016|DBA GH PHIPPS CONSTRUCTION CO GREENWOOD|303-389-3756|303-571-5377|303-356-2324|William Breaker|28|Right-of-Way|12/22/2015
GOLDEN TRIANGLE CONST, INC|LIC-0002487|07|General Contractor|Class|A|09/30/2015|700 WEAVER PARK RD STE E LONGMONT, CO 80501|303-532-0016|303-772-4051|Randy Morrison
GRAYCOR CONSTRUCTION COMPANY|LIC-0010645|07|General Contractor|Class|A|06/25/2015|INC|630-684-7286|630-684-7110|Roger Sautter
GRB SERVICE SYSTEMS INC|LIC-0010743|07|General Contractor|Class|A|11/06/2015|DBA SOUTHWESTERN SERVICES FT WORTH, TX 76133|817-921-2466|John Ario
HANDS ON BUILDERS|LIC-0010314|07|General Contractor|Class|A|10/09/2015|300 E GENESEO ST LAFAYETTE, CO 80026|303-522-0831|Bob Jencks
HASELDEN CONSTRUCTION, LLC|LIC-0008299|07|General Contractor|Class|A|02/19/2016|6950 S POTOMAC ST CENTENNIAL, CO 80112|303-728-3703|Ed Haselden
HCBECK, LTD|LIC-0007861|07|General Contractor|Class|A|12/15/2015|1807 ROSS AVE STE 500 DALLAS, TX 75201|303.466.9665|Henry Beck III
HENNING CONSTRUCTION COMPANY,|LIC-0010797|07|General Contractor|Class|A|01/20/2016|LLC|50131|515-253-0943|Kevin Walker
HENSEL PHELPS CONSTRUCTION CO|LIC-0960004|07|General Contractor|Class|A|02/10/2016|PO BOX O GREELEY, CO 80632|970-352-6565|Richard Tucker|28|Right-of-Way|07/18/2015
HIGH IMPACT CONSTRUCTION|LIC-0010718|07|General Contractor|Class|A|10/07/2015|601 16TH ST STE C #200 GOLDEN, CO 80401|720-515-4672|Garrett Kurtt
HITT CONTRACTING INC|LIC-0006573|07|General Contractor|Class|A|09/22/2015|2900 FAIRVIEW PARK DR FALLS CHURCH, VA 22042|720-399-1371|703-846-9000|Kevin Ott
HORIZON RETAIL CONSTRUCTION|LIC-0006400|07|General Contractor|Class|A|05/08/2015|1500 HORIZON DR STURTEVANT, WI 53177-2066|262-638-6000|Jon Hendersen
HOWELL CONSTRUCTION|LIC-0002634|07|General Contractor|Class|A|12/19/2015|8085 E HARVARD AVE DENVER, CO 80231|303-241-3971|303-696-5826|Joseph Slavik II
HUDSON CONSTRUCTION LLC|LIC-0002871|07|General Contractor|Class|A|02/19/2016|1200 28TH ST BOULDER, CO 80303|303-442-6380|Dennis Hudson|28|Right-of-Way|05/02/2015
HUDSPETH & ASSOCIATES, INC|LIC-0010641|07|General Contractor|Class|A|06/18/2015|4775 S SANTA FE CIR ENGLEWOOD, CO 80110|303-791-5562|Robert Levitt
I-KOTA INC|LIC-0010484|07|General Contractor|Class|A|01/15/2016|4640 PECOS ST UNIT F DENVER, CO 80211|303-883-6789|Kevin Charlson
INTEGRATED COMPANIES, INC|LIC-0006807|07|General Contractor|Class|A|06/03/2015|DBA THE CPI GROUP GREENWOOD VILLAGE, CO|303-504-9999|Mitchell Christ
INTEGRATED INTERIORS, LLC|LIC-0005270|07|General Contractor|Class|A|01/22/2016|9900 E 51ST AVE DENVER, CO 80238|303-574-1118|Alan Fries
INTERSTATE RESTORATION, LLC|LIC-0006608|07|General Contractor|Class|A|08/13/2015|3401 QUORUM DR STE 300 FORT WORTH, TX 76137|800-622-6433|Michael McLeod
JACOBS FIELD SERVICES N AMERICA|LIC-0006812|07|General Contractor|Class|A|01/16/2016|5995 ROGERDALE RD HOUSTON, TX 77072|832-351-6687|Brandi McDonald
JAMEY VALENTINE CONSTRUCTION|LIC-0003721|07|General Contractor|Class|A|03/18/2016|82 PINE NEEDLE RD BOULDER, CO 80304|303-443-2904|303-443-2910|Jamey Valentine
JE DUNN CONSTRUCTION CO|LIC-0007454|07|General Contractor|Class|A|08/20/2015|COLORADO CENTER - TOWER ONE DENVER, CO|816-292-8710|303-753-8988|753-8988|816-474-8600|Mark Reilly|28|Right-of-Way|08/20/2015
JHL CONSTRUCTORS INC|LIC-0003315|07|General Contractor|Class|A|10/21/2015|7076 S ALTON WAY BLDG H ENGLEWOOD, CO|303-741-6116|Ben Stellor
JORDY & COMPANY, INC|LIC-0005074|07|General Contractor|Class|A|06/12/2015|1212 S BROADWAY STE 100 DENVER, CO 80210|303-744-6106|J Charles Jordy, Jr
JSI CONSTRUCTION GROUP LLC|LIC-0009283|07|General Contractor|Class|A|12/19/2015|1710 29TH ST SUITE 1068 BOULDER, CO 80301|720-838-2338|720-838-2292|Michael Martin
KBC REMODEL SERVICE|LIC-0009896|07|General Contractor|Class|A|02/17/2016|PO BOX 292 BOULDER, CO 80306|303-682-1777|Ronald Grace
KIEWIT BUILDING GROUP INC|LIC-0008074|07|General Contractor|Class|A|05/29/2015|7200 S ALTON WAY STE A-300 ENGLEWOOD, CO 80112|303-930-9000|Michael Colpack
240 WYANDOT ST DENVER, CO 80223|07|General Contractor|Class|A|09/17/2015|24hr Phone|Michael Johnston|303-777-7075
MCCAULEY CONSTRUCTORS, INC|LIC-0008651|07|General Contractor|Class|A|09/30/2015|650 INNOVATION CIR WINDSOR, CO 80550|970-626-6300|Leon McCauley
MCKINSTRY ESSENTION LLC|LIC-0009827|07|General Contractor|Class|A|03/30/2016|C/O CT-BL CLAYTON, MO 63105|314-863-0803|303-229-9710|John Musso
MIDWEST UNDERGEROUND|LIC-0010816|07|General Contractor|Class|A|02/17/2016|TECHNOLOGY INC|217-819-3040|Matthew DeLapp
MILENDER WHITE CONSTRUCTION|LIC-0003806|07|General Contractor|Class|A|10/28/2015|COMPANY|303-944-3928|303-216-0420|Bryon White|28|Right-of-Way|05/02/2015
MILO CONSTRUCTION CORPORATION|LIC-0007571|07|General Contractor|Class|A|04/15/2016|1898 S FLATIRON CT STE 200 BOULDER, CO 80301|303-444-7775|Patrick Minniear|28|Right-of-Way|11/08/2015
PARKWAY CONSTRUCTION|LIC-0009648|07|General Contractor|Class|A|10/27/2015|ASSOCIATES LP|469-322-3759|972-221-1979|Greg Klimko
PCL CONSTRUCTION SERVICES INC|LIC-0000289|07|General Contractor|Class|A|04/05/2015|2000 S COLORADO BLVD DENVER, CO 80222|303-365-6500|Kevin Welch|28|Right-of-Way|04/30/2015
PG ARNOLD CONSTRUCTION|LIC-0010744|07|General Contractor|Class|A|11/07/2015|PO BOX 271026 LOUISVILLE, CO 80027|720-335-6227|Paul Arnold|28|Right-of-Way|04/23/2016
PINKARD CONSTRUCTION COMPANY|LIC-0001286|07|General Contractor|Class|A|12/05/2015|9195 W 6TH AVE LAKEWOOD, CO 80215|303-986-4555|Jim Pinkard, Jr
QUINLAN CONSTRUCTION INC|LIC-0001719|07|General Contractor|Class|A|05/11/2015|5540 CENTRAL AVE BOULDER, CO 80301|303-442-0202|303-442-0202|John Quinlan|28|Right-of-Way|12/05/2009
RAPID DRY RESTORATION|LIC-0008047|07|General Contractor|Class|A|08/01/2015|1521 LARK BUNTING PL LONGMONT, CO 80504|303-417-9000|Larry Aragon
RC HEATH CONSTRUCTION CO|LIC-0010362|07|General Contractor|Class|A|10/03/2015|PO DRAWER H FORT COLLINS, CO 80522|970-221-4195|Randall DeMario
REYLENN CONSTRUCTION COMPANY|LIC-0009665|07|General Contractor|Class|A|09/21/2015|INC|CA|303-435-2613|Barney Addamo|28|Right-of-Way|02/12/2013
RHINOTRAX CONSTRUCTION INC|LIC-0007950|07|General Contractor|Class|A|02/28/2016|1035 COFFMAN ST LONGMONT, CO 80501|720-251-1114|303-682-9906|Michele Noel
RJM CONSTRUCTION OF COLORADO|LIC-0008806|07|General Contractor|Class|A|08/26/2015|1331 17TH ST STE 605 DENVER, CO 80202|720-898-5842|720-898-4488|Robert Jossart|28|Right-of-Way|08/26/2015
ROCHE CONSTRUCTORS INC|LIC-0002743|07|General Contractor|Class|A|11/27/2015|PO BOX 1727 GREELEY, CO 80632|970-356-3611|Thomas Roche|28|Right-of-Way|07/27/2015
ROCKY MOUNTAIN EXCAVATING INC|LIC-0010240|07|General Contractor|Class|A|04/30/2015|1199 ATCHISON CT CASTLE ROCK, CO 80109|303-841-0292|Edward St Martin IV
SAI CONSTRUCTION & ENGINEERING|LIC-0010775|07|General Contractor|Class|A|12/18/2015|2185 PINON CIR ERIE, CO 80516|720-210-7555|Vandara Pongphachanxay
SAND CONSTRUCTION LLC|LIC-0001917|07|General Contractor|Class|A|07/21/2015|5106 W 58TH AVE ARVADA, CO 80002|303-433-3170|Dale Sand|28|Right-of-Way|07/21/2015
SAUNDERS CONSTRUCTION INC|LIC-0001974|07|General Contractor|Class|A|09/10/2015|6950 S JORDAN RD CENTENNIAL, CO 80112|303-598-2302|Richard Saunders|28|Right-of-Way|09/10/2015
SEAGREN CONSTRUCTION|LIC-0009612|07|General Contractor|Class|A|03/13/2016|21353 E NICHOLS PKWY AURORA, CO 80016|303-690-7404|Ronald Seagren
SEEFORE CORP/DBA IEONA INC|LIC-0010151|07|General Contractor|Class|A|12/04/2015|1512 CAMBRIDGE DR LONGMONT, CO 80503|303-997-2889|Andrew Greenidge
SHAW BUILDERS LLC|LIC-0010050|07|General Contractor|Class|A|10/21/2015|300 KALAMATH ST DENVER, CO 80223|303-825-4740|Steve Meyer
STEVEN DEWITT ARCH & CONST|LIC-0009441|07|General Contractor|Class|A|03/28/2016|6378 SNOWBERRY LN NIWOT, CO 80503|303-447-8867|303-652-3353|Steven Dewitt
SWINERTON BUILDERS|LIC-0001274|07|General Contractor|Class|A|11/03/2015|6890 W 52ND AVE STE 100 ARVADA, CO 80002|303-423-9242|Kerry Swain
SYMMETRY BUILDERS INC|LIC-0009686|07|General Contractor|Class|A|10/18/2015|PO BOX 20095 BOULDER, CO 80308|720-340-0755|303-444-1044|Andrew Wood|28|Right-of-Way|07/31/2015
TAYLOR KOHRS|LIC-0002143|07|General Contractor|Class|A|05/19/2015|9351 GRANT ST STE 500 DENVER, CO 80229|303-928-1800|Scott Kohrs|28|Right-of-Way|05/19/2015
THE NEENAN COMPANY, LLLP|LIC-0001054|07|General Contractor|Class|A|01/23/2016|2607 MIDPOINT DR FORT COLLINS, CO 80525|970-493-8747|Randy Myers
THE WEITZ COMPANY, LLC|LIC-0001140|07|General Contractor|Class|A|04/01/2015|4725 S MONACO ST STE 100 DENVER, CO 80237|303-413-1004 x 22|303-860-6600|Patty Pusch
TOM HAMMER CONSTRUCTION LLC|LIC-0009434|07|General Contractor|Class|A|04/03/2016|235 WEST RD UNIT 7 PORTSMOUTH, NH 03801|603-431-6464|Tom Hammer
TURN KEY GENERAL CONTRACTORS|LIC-0008656|07|General Contractor|Class|A|03/04/2016|6870 N BROADWAY STE K DENVER, CO 80221|303-467-9667|Glenn Massarotti
UNIFIED BUILDING GROUP LLC|LIC-0010789|07|General Contractor|Class|A|01/09/2016|517 GRANT AVE LOUISVILLE, CO 80027|720-328-9907|John Albert III
VENTURA PACIFIC DEVELOPMENT, INC|LIC-0010613|07|General Contractor|Class|A|05/20/2015|10371 N ORACLE RD STE 104 ORO VALLEY, AZ 85737|520-327-6400|Douglas Peery
VISION CONSTRUCTION, INC|LIC-0008529|07|General Contractor|Class|A|12/30/2015|256 CHOCTAW RD LYONS, CO 80540|303-823-5936|Mike Olson
WANER CONSTRUCTION COMPANY|LIC-0004181|07|General Contractor|Class|A|05/29/2015|8950 BARRONS BLVD UNIT 103 HIGHLANDS RANCH,|303-748-2156|303-798-6549|Curtis Bozich
WE O'NEIL CONSTRUCTION|LIC-0006502|07|General Contractor|Class|A|11/07/2015|229 VALLEJO ST DENVER, CO 80223|303-238-7900|Todd Guthrie
WHITESTONE CONST SERVICES|LIC-0003994|07|General Contractor|Class|A|11/03/2015|1930 CENTRAL AVE UNIT C BOULDER, CO 80301|303-661-0613|John Boone II
WHITING-TURNER CONTRACTING CO|LIC-0005118|07|General Contractor|Class|A|09/22/2015|7400 E ORCHARD RD STE 2700 GREENWOOD|720-529-5500|Mark Faul
WOLVERINE BUILDING GROUP|LIC-0010725|07|General Contractor|Class|A|10/10/2015|4045 BARDEN SE GRAND RAPIDS, MI 49512|616-949-3360|Curtis Mulder
WYATT CONSTRUCTION CO, INC|LIC-0001043|07|General Contractor|Class|A|02/04/2016|3223 ARAPAHOE AVE STE 100 BOULDER, CO 80303|303-449-1255|David Wyatt
ZELHAM, INC|LIC-0008887|07|General Contractor|Class|A|10/23/2015|121 E 50TH ST BOISE, ID 83714|888-658-1701|208-658-1700|Daniel Hamilton
2810 W 8TH AVE DENVER, CO 80204|08|General Contractor|Class|B|06/28/2015|Primary Phone|Alan Waring|303-778-8555
ABBOTTS FIRE & FLOOD|LIC-0010519|08|General Contractor|Class|B|02/11/2016|2301 S JASON ST DENVER, CO 80223|303-975-4000|303-667-0829|Trevor Martin
AD MILLER SERVICES INC|LIC-0002459|08|General Contractor|Class|B|05/23/2015|7006 S ALTON WAY #E100 ENGLEWOOD, CO 80112|303-221-7770|Alan Miller
LLC|08|General Contractor|Class|B|03/09/2016|7808 CHERRY CREEK SOUTH DR DENVER, CO 80231|720-282-3462|Timothy Baker
ADL CONSTRUCTION LLC|LIC-0010790|08|General Contractor|Class|B|01/12/2016|2348 SAGEBRUSH ST PARKER, CO 80138|303-927-7597|Dareld Lusher
AGR BUILDING, INC|LIC-0006296|08|General Contractor|Class|B|02/21/2016|1035 PEARL ST STE 205 BOULDER, CO|720-937-9498|303-245-8688|Don Altman|80302|28|Right-of-Way|06/07/2015
ALCORN CONSTRUCTION INC|LIC-0010137|08|General Contractor|Class|B|01/13/2016|12081 W ALAMEDA PKWY LAKEWOOD, CO 80228|303-986-7900|Chris Alcorn
ALL PHASE RESTORATION|LIC-0010457|08|General Contractor|Class|B|11/21/2015|7355 GREENRIDGE RD STE C WINDSOR, CO 80550|970-213-1900|Jeffrey Mauck
ALL PRO CONSTRUCTION REMODEL &|LIC-0009683|08|General Contractor|Class|B|07/18/2015|HANDYMAN SERVICES INC FT COLLINS, CO 80528|970-599-5852|David Potter
APEX BUILDERS, INC|LIC-0006375|08|General|Contractor|Class|B|01/20/2016|4176 AMBER PL BOULDER, CO 80304|John Crittenden
ARMSTRONG CONSTRUCTION|LIC-0010738|08|General|Contractor|Class|B|10/28/2015|3889 BOSQUE CT BOULDER, CO 80301|303-883-4138|A Armstrong
ARRAY CONSTRUCTION, LLC|LIC-0006893|08|General|Contractor|Class|B|01/09/2016|PO BOX 2406 LONGMONT, CO 80502-2406|303-775-6413|Joseph Kolodziej
ASR COMPANIES INC|LIC-0004186|08|General|Contractor|Class|B|06/05/2015|12540 W CEDAR DR LAKEWOOD, CO 80228|303-882-5136|303-991-6600|Stephen Nessett
AYUDA COMPANIES|LIC-0010507|08|General Contractor|Class|B|02/02/2016|11800 RIDGE PKWY STE 550 BROOMFIELD,|303-999-2020|Adam Green|CO 80021
BANNOCKBURN ENTERPRISES|LIC-0006065|08|General Contractor|Class|B|08/01/2015|410 OWL DR LOUISVILLE, CO 80027-2252|Gavin Bell|28|Right-of-Way|11/14/2014
BAUMGARTNER ENTERPRISES|LIC-0006207|08|General Contractor|Class|B|03/24/2016|643 ELDORADO BLVD #1335 BROOMFIELD, CO 80021|303-880-2899|Doug Baumgartner
BC BUILDERS, INC|LIC-0010257|08|General Contractor|Class|B|05/16/2015|11680 CARMEL DR LAKEWOOD, CO 80215|720-583-1679|Bruce Carpenter
BEARTRAX, LLC|LIC-0008800|08|General Contractor|Class|B|07/24/2015|12150 W 44TH AVE #112 WHEAT RIDGE, CO 80033|720-488-4108|John Pollick
BELFOR USA GROUP, INC|LIC-0002955|08|General Contractor|Class|B|01/29/2016|5085 KALAMATH ST DENVER, CO 80221|800-466-4228|303-425-9700|Charles Sather
BLUE RIBBON BUILDERS|LIC-0003197|08|General Contractor|Class|B|09/16/2015|4201 CREEK DR BROOMFIELD, CO 80020|720-217-5702|Keith Webber|28|Right-of-Way|10/28/2012
BLUE SPRUCE DESIGN & CONST|LIC-0003310|08|General Contractor|Class|B|09/28/2015|8854 PINE CONE LN NIWOT, CO 80503|303-652-1150|Sandra Weeks|28|Right-of-Way|09/28/2015
BOGART CONSTRUCTION|LIC-0008002|08|General Contractor|Class|B|03/25/2016|9980 IRVINE CENTER DR STE 200 IRVINE, CA 92618|949-783-5434|949-453-1400|Brad Bogart
LANDSCAPING|14|General Contractor Class D-4 Land,|Irrig,|Sitework|12/16/2014|6270 ARAPAHOE RD UNIT 6 BOULDER, CO 80303|303-635-6801|Rodrigo Garcia
BRISTLECONE CONSTRUCTION CORP|LIC-0010787|08|General Contractor|Class|B|01/06/2016|2330 S BROADWAY DENVER, CO 80210|303-257-5181|Zach Smith
BROKERS CONTRACTING INC|LIC-0007221|08|General Contractor|Class|B|05/09/2015|2525 16TH ST STE 100 DENVER, CO 80211|303-425-5916|Gordon Woolley
BUCKNER CONSTRUCTION|LIC-0007568|08|General Contractor|Class|B|08/18/2015|4700 STERLING DR STE E BOULDER, CO 80301|303-440-0763|Matthew Buckner|28|Right-of-Way|05/27/2012
BUFFALO MAINTENANCE & REPAIR|LIC-0002898|08|General Contractor|Class|B|02/28/2016|INC|303-443-6330|303-443-6330|Mattthew Sauer|19|General Contractor|Class|D-9|Home|Inspector|02/28/2016
BUILDWELL LLC|LIC-0010297|08|General Contractor|Class|B|05/24/2015|13905 BRAUN RD GOLDEN, CO 80401|720-838-6609|Remington(Ryan) Wither
BURR'S CONSTRUCTION CO LLC|LIC-0010274|08|General Contractor|Class|B|06/04/2015|PO BOX 1273 NEDERLAND, CO 80466|303-258-7786|Burr Wilcox
BURTON CONSTRUCTION|LIC-0004449|08|General Contractor|Class|B|12/17/2015|637 GOLD RUN RD BOULDER, CO 80302|303-415-1419|Burton Sloan|19|General Contractor|Class|D-9|Home|Inspector|12/17/2015|28|Right-of-Way|02/21/2008
BV BUILDERS LLC|LIC-0009107|08|General Contractor|Class|B|07/19/2015|1606 IO CT LAFAYETTE, CO 80026|303-819-6499|Graham Bailhache
BW CONSTRUCTION|LIC-0001637|08|General Contractor|Class|B|04/02/2016|3067 10TH ST BOULDER, CO 80304|720-732-3510|303-449-3298|Randy Bailey
CASEY COOK, INC|LIC-0002151|08|General Contractor|Class|B|11/16/2015|1050 LINDEN AVE BOULDER, CO 80304|303-665-9349|303 919 4851|Casey Cook
CATAMOUNT CONSTRUCTORS, INC|LIC-0007047|08|General Contractor|Class|B|04/21/2015|1527 COLE BLVD STE 100 LAKEWOOD, CO 80401|720-880-2207|303-679-0087|Jeffery Cochran|28|Right-of-Way|04/21/2015
CB BOVENKAMP, INC|LIC-0007683|08|General Contractor|Class|B|03/19/2016|9002 SW 152ND ST MIAMI, FL 33157|305-233-4438|Shawn Wilson
CCM CONSTRUCTION MANAGEMENT|LIC-0001348|08|General Contractor|Class|B|06/10/2015|INC|303-442-9008|Daniel Guesman|28|Right-of-Way|01/14/2016
CDC DEVELOPMENT/PORCHFRONT|LIC-0017328|08|General Contractor|Class|B|08/15/2015|HOMES|303-442-8453|Tim Coonce|28|Right-of-Way|08/13/2015
